"COD.IBGE","LONGITUDE","LATITUDE","ALTITUDE"
4318499,-54.133550202739,-27.7225845665545,204.908414
4302204,-54.1094812552698,-27.671566996006,283.023797
4310413,-54.012545591408,-27.8804544575624,398.484614
4300455,-54.0573664131385,-27.8372999555906,358.197387
4305405,-53.9457497023822,-27.9173647532266,471.750345
4319737,-53.9355261513435,-27.7877181691053,414.058619
4319109,-53.9669227230418,-27.7089288013511,447.765486
4300208,-53.77281888998731,-28.2377290059022,329.684816
4313334,-53.7069373378916,-28.082644871621,462.85133
4317806,-53.7788495982932,-27.8534907756234,532.2391750000001
4304002,-53.8028138686737,-27.6744926094406,434.5187819999999
4305900,-53.70912810650141,-27.7178730188616,452.745002
4315404,-53.64193369399529,-27.6615398818935,543.918573
4306106,-53.6052407621196,-28.6424466076948,469.581743
4302238,-53.3887049606029,-28.8184880332213,422.210615
4313904,-53.5002651674452,-28.2927305361369,418.525126
4308458,-53.2355232639118,-28.7878829701972,421.804076
4315354,-53.09672205678179,-28.7423613491272,368.05528
4300554,-52.9907552806891,-28.7747455362725,386.501636
4310009,-53.08835401952331,-28.627607781644,401.930138
4316709,-53.25052670755039,-28.3651668159572,519.928324
4305603,-52.9931763194633,-28.5229477591022,447.660714
4316436,-53.0941072015607,-28.4032861698965,531.400591
4305702,-53.48894333085291,-28.2052957745073,469.84723
4306429,-53.5308646235229,-27.6575367306726,528.182987
4313706,-53.3149539105514,-27.900620874651,623.212432
4302154,-53.31275639375811,-27.666111034262,569.949071
4305306,-53.0672769044206,-28.0584504604556,462.755786
4312955,-52.9814768438008,-27.9879676583412,416.0114
4319364,-53.24736897885261,-27.7713084599705,483.024531
4311429,-53.1813871337597,-27.6907694076033,393.01155
4316428,-53.1356517180311,-27.7067309897243,360.611651
4313490,-53.1134988510144,-27.90678846624491,382.093537
4301958,-53.0362966696036,-27.923825844394,372.979565
4318457,-53.1187752690111,-27.7781833172731,463.52375
4313466,-53.0641092994744,-27.7481146913576,349.730883
4305801,-52.98773883211369,-27.7304110856673,456.012283
4313011,-54.1041142397608,-27.6120981601716,297.512609
4306007,-54.10003490616531,-27.4980122686194,383.277081
4320230,-53.9558847238338,-27.6311628717037,473.87484
4309704,-53.9765055737001,-27.5614898153462,447.3699179999999
4321477,-54.0853922050406,-27.3968988834236,402.9641359999999
4321907,-53.9296989580111,-27.45615988307,449.870254
4307450,-53.9927678151195,-27.3599436080705,378.643047
