"V1.nome","V2.nome","V3.nome","V4.nome","V5.nome","V6.nome","V7.nome","V8.nome","V9.nome","V10.nome","origem.nome","origem","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Vista Gaúcha RS","Peabiru PR","Tabatinga SP","Agrolândia SC","Dionísio Cerqueira SC","Dois Lajeados RS","Enéas Marques PR","Colinas RS","Rondinha RS","Nicolau Vergueiro RS","Buritizal SP",3508207,5096,4171,3854,4313,4390,4737,4013,4714,4954,4872
"Americano do Brasil GO","Iguatu PR","Paulistânia SP","Araporã MG","Rubiácea SP","Suzanápolis SP","Florínia SP","Guiratinga MT","Água Limpa GO","Juranda PR","Cabrália Paulista SP",3508306,5332,4055,3678,2284,3765,3852,3451,5226,5324,4091
"Dracena SP","Mairinque SP","Porto Feliz SP","Osvaldo Cruz SP","Lençóis Paulista SP","Santa Fé do Sul SP","Ceres GO","Ivaiporã PR","Taquaritinga SP","Presidente Venceslau SP","Cabreúva SP",3508405,3426,3586,3720,3656,3569,3788,5380,4074,3865,3732
"Assis SP","União da Vitória PR","João Monlevade MG","Gurupi TO","Bebedouro SP","Nova Odessa SP","Caieiras SP","Alfenas MG","Garça SP","Aracruz ES","Caçapava SP",3508504,3313,4299,2654,368,3335,3644,3368,2259,3457,3105
"Guararapes SP","Auriflama SP","Ibaté SP","Alumínio SP","Buritama SP","Santa Branca SP","Taiúva SP","Sales Oliveira SP","Vera Cruz SP","Dracena SP","Cachoeira Paulista SP",3508603,3473,3315,3488,3280,3359,3781,3859,3770,3902,3426
"Pereiras SP","São José da Barra MG","Alpinópolis MG","Ouro Fino MG","Pontão RS","Seberi RS","Triunfo RS","Itanhandu MG","Matias Barbosa MG","São João do Itaperiú SC","Caconde SP",3508702,3689,2982,2263,2781,4925,5024,5065,2618,2715,4555
"Gravatal SC","Miguelópolis SP","Cambuí MG","Piúma ES","Cardoso SP","Vazante MG","Arcos MG","Piranhas GO","Castelo ES","Presidente Lucena RS","Cafelândia SP",3508801,4409,3601,2358,3153,3389,3081,2289,5502,3114,4934
"Marinópolis SP","Farol PR","Ouro Verde de Goiás GO","Roseira SP","Nerópolis GO","Santópolis do Aguapeí SP","Dolcinópolis SP","Oriente SP","Rubiácea SP","Suzanápolis SP","Caiabu SP",3508900,3594,4018,5488,3764,5475,3808,3424,3651,3765,3852
"João Monlevade MG","Cruzeiro SP","Caçapava SP","Registro SP","Assis SP","Lorena SP","Presidente Epitácio SP","Salto de Pirapora SP","União da Vitória PR","Nova Odessa SP","Caieiras SP",3509007,2654,3415,3363,3744,3313,3573,3730,3775,4299,3644
"Guapirama PR","Nova Canaã Paulista SP","Tuneiras do Oeste PR","Itaguaçu ES","São João das Duas Pontes SP","Guarani D'Oeste SP","Mira Estrela SP","Euclides da Cunha Paulista SP","Emilianópolis SP","Gavião Peixoto SP","Caiuá SP",3509106,4042,3636,4294,3131,3816,3471,3604,3442,3436,3459
"Barra do Garças MT","Seropédica RJ","Santo Antônio de Pádua RJ","Catalão GO","São Luís de Montes Belos GO","São Manuel SP","Cidade Ocidental GO","Rosana SP","Niquelândia GO","Palmital SP","Cajamar SP",3509205,5194,3256,3244,5377,5536,3827,5383,3763,5476,3664
"Barroso MG","Juatuba MG","Cássia dos Coqueiros SP","Barão de Cocais MG","Pariquera-Açu SP","Santo Antônio do Planalto RS","Dom Silvério MG","Cananéia SP","Palma MG","Atilio Vivacqua ES","Cajati SP",3509254,2306,2662,3391,2302,3673,4980,2497,3379,2790,3106
"Piratuba SC","Lauro Muller SC","Cerqueira César SP","Luís Antônio SP","Viradouro SP","Guatapará SP","Clementina SP","Sebastianópolis do Sul SP","Tunápolis SC","Rafard SP","Cajobi SP",3509304,4507,4455,3396,3578,3904,3480,3400,3839,4587,3739
"Monte Azul Paulista SP","Novo Xingu RS","Borborema SP","Vista Alegre do Alto SP","Saltinho SP","Cruzeiro do Oeste PR","Iporã do Oeste SC","Guaraí TO","Quilombo SC","Ilha Solteira SP","Cajuru SP",3509403,3619,4893,3350,3905,3773,4001,4427,367,4521,3501
"Tigrinhos SC","Pirapetinga MG","São José das Palmeiras PR","Iacri SP","Cachoeira Dourada MG","Aspásia SP","São Pedro do Paraná PR","Bom Jesus da Penha MG","Quinta do Sol PR","Carvalhópolis MG","Campina do Monte Alegre SP",3509452,4576,2841,4260,3486,2350,3312,4267,2324,4204,2403
"Natal RN","Campos dos Goytacazes RJ","João Pessoa PB","Aparecida de Goiânia GO","Campo Grande MS","Porto Alegre RS","Goiânia GO","Contagem MG","Itaboraí RJ","Osasco SP","Campinas SP",3509502,1163,3191,1337,5337,5119,4928,5413,2448,3203,3654
"Embu-Guaçu SP","Timóteo MG","Aracruz ES","Ribeirão Pires SP","Pirapora MG","Santa Isabel SP","Guararapes SP","Cachoeira Paulista SP","Alfenas MG","Paraguaçu Paulista SP","Campo Limpo Paulista SP",3509601,3435,3049,3105,3753,2842,3790,3473,3364,2259,3666
"Gramado RS","Osório RS","Campo Bom RS","Capão da Canoa RS","Barra de São Francisco ES","Seara SC","Nova Lima MG","Holambra SP","Videira SC","Brumadinho MG","Campos do Jordão SP",3509700,4786,4895,4675,4686,3108,4569,2763,3483,4597,2340
"Ocauçu SP","Avaí SP","Santa Inês PR","Itirapuã SP","Torre de Pedra SP","Uruana GO","Cachoeira de Goiás GO","Dirce Reis SP","Lupércio SP","Carmo do Rio Verde GO","Campos Novos Paulista SP",3509809,3647,3316,4235,3537,3877,5557,5362,3420,3580,5375
"Santo Antônio do Planalto RS","Cássia dos Coqueiros SP","Campo Alegre SC","São Vicente de Minas MG","Onda Verde SP","Pitangueiras PR","Pariquera-Açu SP","Juatuba MG","Salmourão SP","Juscimeira MT","Cananéia SP",3509908,4980,3391,4364,3009,3650,4183,3673,2662,3772,5238
"Nantes SP","Ribeira SP","Santana de Cataguases MG","Nortelândia MT","Miracatu SP","Flora Rica SP","Itaberá SP","Bom Jesus do Sul PR","Ribeirão Grande SP","Tocantinópolis TO","Canas SP",3509957,3627,3746,2924,5247,3603,3448,3515,3952,3752,445
"Agudos SP","Goiandira GO","Bastos SP","Nova Era MG","Guaraci SP","Igaraçu do Tietê SP","Santa Salete SP","Américo Brasiliense SP","Salvador das Missões RS","Presidente Epitácio SP","Cândido Mota SP",3510005,3274,5411,3332,2762,3470,3495,3799,3286,4960,3730
"São Simão SP","Colina SP","Lobato PR","Cocal do Sul SC","Angatuba SP","Dianópolis TO","Pompéia SP","Poloni SP","Mercedes PR","Saudades SC","Cândido Rodrigues SP",3510104,3835,3401,4101,4378,3291,355,3713,3712,4131,4567
"Ibema PR","Córrego Fundo MG","Dom Cavati MG","Águia Branca ES","Aperibé RJ","Bonfinópolis de Minas MG","Itambaracá PR","Buenópolis MG","Araruna PR","Jardim Olinda PR","Canitar SP",3510153,4051,2462,2495,3098,3176,2330,4068,2342,3932,4086
"Maracaí SP","Cruzália SP","Salesópolis SP","Pirapora MG","Castilho SP","Cachoeira da Prata MG","Inúbia Paulista SP","Paraguaçu Paulista SP","Parapuã SP","Nerópolis GO","Capão Bonito SP",3510203,3590,3414,3771,2842,3392,2348,3505,3666,3671,5475
"Formosa do Oeste PR","Urutaí GO","São João PR","Ipiguá SP","Perobal PR","Tio Hugo RS","Jacupiranga SP","São João do Pau D'Alho SP","Santa Cruz de Monte Castelo PR","Mercedes PR","Capela do Alto SP",3510302,4029,5558,4252,3509,4172,5051,3546,3818,4232,4131
"Ibitinga SP","Jacarezinho PR","Jaguariúna SP","Canela RS","Irati PR","Marau RS","Espírito Santo do Pinhal SP","Amparo SP","Farroupilha RS","Louveira SP","Capivari SP",3510401,3491,4078,3547,4681,4064,4847,3438,3288,4766,3575
"Catanduva SP","Jandira SP","Tatuí SP","Ourinhos SP","Gurupi TO","Araras SP","Ouro Preto MG","Assis SP","Bebedouro SP","Mogi Guaçu SP","Caraguatatuba SP",3510500,3393,3550,3870,3657,368,3304,2782,3313,3335,3611
"Diadema SP","Mauá SP","Olinda PE","São José dos Campos SP","Governador Valadares MG","Magé RJ","Mogi das Cruzes SP","Santo André SP","Serra ES","Sorocaba SP","Carapicuíba SP",3510609,3419,3597,1575,3824,2558,3213,3610,3801,3166,3848
"Irapuã SP","Presidente Lucena RS","Cafelândia SP","Jesuítas PR","Gravatal SC","Pratápolis MG","São José das Palmeiras PR","Jacutinga RS","Aspásia SP","Paraguaçu MG","Cardoso SP",3510708,3513,4934,3366,4088,4409,2861,4260,4824,3312,2795
"São Marcos RS","Getúlio Vargas RS","Louveira SP","Estrela RS","Itatiaia RJ","Chapadão do Sul MS","Diamantino MT","Barra do Bugres MT","Bocaina SP","São José do Ouro RS","Casa Branca SP",3510807,5004,4783,3575,4762,3208,5122,5218,5193,3343,4998
"Cananéia SP","Juatuba MG","São Vicente de Minas MG","Pitangueiras PR","Santo Antônio do Planalto RS","Pariquera-Açu SP","Atilio Vivacqua ES","Barroso MG","Adelândia GO","Cajati SP","Cássia dos Coqueiros SP",3510906,3379,2662,3009,4183,4980,3673,3106,2306,5322,3371
"Parapuã SP","Salesópolis SP","Santa Rita D'Oeste SP","Oriente SP","Ivatuba PR","Santo Antônio do Aracanguá SP","Álvares Machado SP","Nerópolis GO","Cachoeira da Prata MG","Confins MG","Castilho SP",3511003,3671,3771,3796,3651,4076,3804,3282,5475,2348,2440
"Jandira SP","Ouro Preto MG","Caraguatatuba SP","Tatuí SP","Paranavaí PR","Gurupi TO","Votuporanga SP","Jaraguá do Sul SC","Francisco Beltrão PR","Araras SP","Catanduva SP",3511102,3550,2782,3387,3870,4166,368,3908,4444,4032,3304
"Maracajá SC","Pinheiro Preto SC","Marapoama SP","Tarumã SP","Bicas MG","Carlópolis PR","Três Ranchos GO","Paranapuã SP","São Vendelino RS","Pirajuí SP","Catiguá SP",3511201,4466,4506,3591,3869,2317,3979,5550,3670,5019,3702
"Lacerdópolis SC","Carmo do Rio Claro MG","Brodowski SP","Braço do Trombudo SC","Trombudo Central SC","Serra Alta SC","Junqueirópolis SP","Urussanga SC","Aramina SP","Campo Magro PR","Cedral SP",3511300,4450,2399,3356,4356,4585,4570,3561,4592,3300,3971
"Lauro Muller SC","Cajobi SP","Piratuba SC","Viradouro SP","Luís Antônio SP","Sebastianópolis do Sul SP","Pedrinhas Paulista SP","Guatapará SP","Tunápolis SC","Clementina SP","Cerqueira César SP",3511409,4455,3372,4507,3904,3578,3839,3685,3480,4587,3400
"São Joaquim da Barra SP","Mandaguari PR","Ilha Solteira SP","Jales SP","Pitangueiras SP","Dois Vizinhos PR","Piraju SP","Lucélia SP","Rio das Pedras SP","Adamantina SP","Cerquilho SP",3511508,3819,4109,3501,3548,3708,4010,3701,3576,3760,3267
"Alto Araguaia MT","Mantena MG","Pérola PR","Cachoeira Dourada GO","Catanduvas SC","Capanema PR","Morungaba SP","Ipiranga do Norte MT","Manoel Ribas PR","Petrolândia SC","Cesário Lange SP",3511607,5181,2700,4173,5363,4372,3976,3624,5228,4113,4503
"Neves Paulista SP","Guatapará SP","Taquaral SP","Nova Granada SP","Cerqueira César SP","Reginópolis SP","Meridiano SP","Cajobi SP","São Tomé PR","Lauro Muller SC","Charqueada SP",3511706,3631,3480,3864,3639,3396,3743,3599,3372,4269,4455
"Lavínia SP","Tunápolis SC","Luís Antônio SP","Itobi SP","Uraí PR","Cajobi SP","Piratuba SC","Pedrinhas Paulista SP","Mamborê PR","Sebastianópolis do Sul SP","Clementina SP",3511904,3566,4587,3578,3538,4301,3372,4507,3685,4107,3839
"Cândido Rodrigues SP","São Simão SP","Angatuba SP","Lobato PR","Pereira Barreto SP","Duartina SP","Santa Rosa de Lima SC","Cocal do Sul SC","Otacílio Costa SC","Presidente Epitácio SP","Colina SP",3512001,3382,3835,3291,4101,3688,3427,4540,4378,4486,3730
"Muqui ES","Quatiguá PR","Ivaté PR","Guaraçaí SP","Santa Clara D'Oeste SP","Santa Ernestina SP","Aparecida D'Oeste SP","Pontes Gestal SP","Piên PR","Terra Boa PR","Colômbia SP",3512100,3148,4199,4075,3469,3782,3787,3295,3717,4175,4285
"Carambeí PR","Chapadão do Sul MS","Encantado RS","Monte Belo do Sul RS","Arroio do Sal RS","Diamantino MT","São Domingos SC","São João do Polêsine RS","Nova Pádua RS","Vera Cruz RS","Conchal SP",3512209,3978,5122,4745,4861,4625,5218,4551,4991,4882,5083
"Matelândia PR","Cerro Largo RS","Monte Aprazível SP","Ipira SC","Águas de São Pedro SP","Horizontina RS","Iporá GO","Chapada RS","Ipeúna SP","Porecatu PR","Conchas SP",3512308,4126,4705,3618,4426,3273,4796,5431,4706,3508,4188
"Guarantã do Norte MT","São Carlos SC","Palotina PR","Monte Alegre do Sul SP","João Neiva ES","Nova Aurora PR","Encantado RS","Laurentino SC","Conchal SP","Luzerna SC","Cordeirópolis SP",3512407,5225,4549,4161,3616,3137,4141,4745,4454,3403,4461
"Meridiano SP","Reginópolis SP","São Tomé PR","Nipoã SP","Turmalina SP","Guatapará SP","Charqueada SP","Pranchita PR","São Francisco SP","Taquaral SP","Coroados SP",3512506,3599,3743,4269,3633,3886,3480,3399,4194,3814,3864
"Pracinha SP","Fátima TO","Pedro de Toledo SP","Abdon Batista SC","São João D'Aliança GO","Curvelândia MT","Combinado TO","Tarabai SP","Quitandinha PR","Santo Expedito SP","Coronel Macedo SP",3512605,3724,360,3686,4311,5534,5216,349,3868,4205,3807
"Raposos MG","Bilac SP","Pongaí SP","Otacílio Costa SC","Santa Rosa de Lima SC","Arealva SP","Lagoa dos Três Cantos RS","Lucélia SP","Angatuba SP","Iconha ES","Corumbataí SP",3512704,2871,3339,3714,4486,4540,3306,4833,3576,3291,3129
"Diamantina MG","São Sebastião SP","Porangatu GO","Andradina SP","Três Pontas MG","Santa Cruz do Rio Pardo SP","São Luiz Gonzaga RS","Viçosa MG","Santa Rosa RS","Itajubá MG","Cosmópolis SP",3512803,2483,3833,5507,3290,3058,3786,5003,3087,4972,2611
"Moema MG","Nuporanga SP","Lindóia SP","Jumirim SP","Vila Flores RS","Virmond PR","Óleo SP","Paula Freitas PR","São José do Herval RS","Pejuçara RS","Cosmorama SP",3512902,2733,3646,3571,3559,5090,4308,3648,4169,4994,4913
"Passo Fundo RS","Itu SP","Santa Maria RS","Barueri SP","Criciúma SC","Dourados MS","Pinhais PR","Linhares ES","Colatina ES","Maricá RJ","Cotia SP",3513009,4908,3539,4967,3331,4385,5131,4176,3139,3115,3215
"Promissão SP","Paiçandu PR","Pedreira SP","São Miguel do Oeste SC","Tremembé SP","Herval D'Oeste SC","Pirajuí SP","José Bonifácio SP","Santa Rosa de Viterbo SP","Iturama MG","Cravinhos SP",3513108,3733,4157,3684,4565,3880,4415,3702,3557,3798,2632
"Salete SC","Vargem Bonita SC","Bady Bassitt SP","Jandaia do Sul PR","São Roque do Canaã ES","Populina SP","Carapebus RJ","General Salgado SP","Santa Mariana PR","Minaçu GO","Cristais Paulista SP",3513207,4534,4595,3319,4081,3165,3718,3189,3460,4240,5461
"Inúbia Paulista SP","Belo Oriente MG","Alfredo Marcondes SP","Guaimbê SP","Fênix PR","Cachoeira da Prata MG","Lupércio SP","Firminópolis GO","Campos Belos GO","Dirce Reis SP","Cruzália SP",3513306,3505,2310,3276,3464,4021,2348,3580,5404,5373,3420
"Registro SP","Caieiras SP","Mongaguá SP","Pedro Leopoldo MG","João Monlevade MG","Américo Brasiliense SP","Olímpia SP","Presidente Epitácio SP","Lorena SP","Agudos SP","Cruzeiro SP",3513405,3744,3368,3615,2819,2654,3286,3649,3730,3573,3274
"Cáceres MT","Araguaína TO","Jacareí SP","Nilópolis RJ","Parnamirim RN","Valparaíso de Goiás GO","Araçatuba SP","Pindamonhangaba SP","Salto SP","Barra do Piraí RJ","Cubatão SP",3513504,5197,322,3544,3221,1110,5559,3298,3694,3774,3181
"Guaranésia MG","Tiradentes MG","Lupionópolis PR","Prado Ferreira PR","Arapuá MG","Estrela do Norte GO","Ponte Preta RS","Chapada dos Guimarães MT","Glorinha RS","Novo Horizonte SC","Cunha SP",3513603,2565,3050,4105,4193,2285,5401,4926,5206,4785,4484
"Santa Cruz do Rio Pardo SP","São Luiz Gonzaga RS","Santa Rosa de Viterbo SP","Porangatu GO","Brodowski SP","Promissão SP","São Pedro SP","Herval D'Oeste SC","Carmo do Rio Claro MG","Cravinhos SP","Descalvado SP",3513702,3786,5003,3798,5507,3356,3733,3830,4415,2399,3412
"Mauá SP","Carapicuíba SP","Olinda PE","Parnaíba PI","Embu SP","Mogi das Cruzes SP","São Vicente SP","Magé RJ","Várzea Grande MT","São José dos Campos SP","Diadema SP",3513801,3597,3388,1575,817,3434,3610,3836,3213,5312,3824
"Firminópolis GO","Uruana GO","Anhumas SP","Alfredo Marcondes SP","Carandaí MG","Lupércio SP","Salto Grande SP","Cachoeira de Goiás GO","Santa Inês PR","Belo Oriente MG","Dirce Reis SP",3513850,5404,5557,3293,3276,2387,3580,3776,5362,4235,2310
"Giruá RS","Palestina SP","Campo Magro PR","Severiano de Almeida RS","Braço do Trombudo SC","Morro Reuter RS","Serra Alta SC","Trombudo Central SC","Pilar do Sul SP","Analândia SP","Divinolândia SP",3513900,4784,3661,3971,5035,4356,4866,4570,4585,3693,3289
"Rifaina SP","Porto Real RJ","São João da Paraúna GO","Palmeira D'Oeste SP","Engenheiro Beltrão PR","Água Limpa GO","Nova Aliança SP","Vera Cruz SP","Ilha Comprida SP","Santa Isabel do Ivaí PR","Dobrada SP",3514007,3756,3233,5535,3663,4014,5324,3634,3902,3500,4236
"Sombrio SC","Tambaú SP","Turvo SC","São João Batista SC","Ivinhema MS","Uruaçu GO","Guaraciaba SC","Anta Gorda RS","Eldorado do Sul RS","Lindóia do Sul SC","Dois Córregos SP",3514106,4572,3860,4588,4554,5141,5556,4411,4619,4744,4458
"Três Fronteiras SP","Rubiácea SP","Paulistânia SP","Roseira SP","Oriente SP","Três Barras SC","Iguaraçu PR","Ivatuba PR","Confins MG","Nerópolis GO","Dolcinópolis SP",3514205,3881,3765,3678,3764,3651,4581,4054,4076,2440,5475
"Pinhalzinho SP","São Jorge do Ivaí PR","Ermo SC","Presidente Alves SP","Palmital SP","Cacequi RS","Sabino SP","Santa Tereza do Oeste PR","Santa Terezinha de Itaipu PR","Estiva Gerbi SP","Dourado SP",3514304,3696,4257,4394,3728,3664,4663,3767,4243,4244,3911
"Cabreúva SP","Mairinque SP","Porto Feliz SP","Osvaldo Cruz SP","Lençóis Paulista SP","Ceres GO","Ivaiporã PR","Santa Fé do Sul SP","Adamantina SP","Auriflama SP","Dracena SP",3514403,3362,3586,3720,3656,3569,5380,4074,3788,3267,3315
"Sales Oliveira SP","Santa Rosa de Lima SC","Rialma GO","Otacílio Costa SC","Pereira Barreto SP","Alumínio SP","Angatuba SP","Echaporã SP","Presidente Bernardes SP","Santa Branca SP","Duartina SP",3514502,3770,4540,5513,4486,3688,3280,3291,3429,3729,3781
"Iacanga SP","Palmares Paulista SP","Nova Londrina PR","Três Ranchos GO","Mato Leitão RS","Irani SC","Massaranduba SC","Itaí SP","Itauçu GO","Paranapuã SP","Dumont SP",3514601,3485,3662,4147,5550,4854,4431,4469,3516,5441,3670
"Santa Cruz da Esperança SP","Cafelândia PR","Bilac SP","Lagoa dos Três Cantos RS","Diamante do Norte PR","Buritama SP","Araputanga MT","Corumbataí SP","Otacílio Costa SC","Sales Oliveira SP","Echaporã SP",3514700,3784,3959,3339,4833,4007,3359,5189,3408,4486,3770
"Taiobeiras MG","Ressaquinha MG","Camacho MG","Brasilândia do Tocantins TO","Arapuã PR","Monte Castelo SC","Ibituruna MG","Santo Antônio do Amparo MG","Fortuna de Minas MG","Alfredo Vasconcelos MG","Eldorado SP",3514809,3041,2877,2356,336,3931,4476,2583,2941,2537,2260
"Joanópolis SP","Tupandi RS","Mariano Moro RS","Mato Castelhano RS","André da Rocha RS","Itaipulândia PR","Augusto Pestana RS","Capinópolis MG","Coronel Barros RS","Tapurah MT","Elias Fausto SP",3514908,3555,5070,4850,4853,4618,4067,4631,2380,4720,5306
"Três Barras SC","Guiratinga MT","Turiúba SP","Oscar Bressane SP","Engenheiro Beltrão PR","Três Fronteiras SP","Dobrada SP","Palmeira D'Oeste SP","Bento de Abreu SP","Iguaraçu PR","Elisiário SP",3514924,4581,5226,3885,3655,4014,3881,3422,3663,3336,4054
"Ribeirão Claro PR","Monte Belo do Sul RS","Riqueza SC","Alvorada do Sul PR","São João do Polêsine RS","Iporã PR","Nova Aurora PR","Monte Alegre do Sul SP","Palmitinho RS","Buriti Alegre GO","Embaúba SP",3514957,4214,4861,4531,3920,4991,4062,4141,3616,4899,5357
"São Vicente SP","Várzea Grande MT","Montes Claros MG","Mauá SP","Mogi das Cruzes SP","Diadema SP","Guarujá SP","Franca SP","Carapicuíba SP","Mesquita RJ","Embu SP",3515004,3836,5312,2743,3597,3610,3419,3478,3452,3388,3217
"Campo Limpo Paulista SP","Pirapora MG","Aracruz ES","Santa Isabel SP","Timóteo MG","Paraguaçu Paulista SP","Ribeirão Pires SP","Guararapes SP","Porto Nacional TO","Cachoeira Paulista SP","Embu-Guaçu SP",3515103,3376,2842,3105,3790,3049,3666,3753,3473,414,3364
"Itaguaçu ES","Torixoréu MT","Nova Luzitânia SP","Alambari SP","Mira Estrela SP","Gavião Peixoto SP","Gabriel Monteiro SP","Floreal SP","Conselheiro Mairinck PR","Boa Esperança PR","Emilianópolis SP",3515129,3131,5309,3643,3275,3604,3459,3455,3449,3993,3947
"Nova Granada SP","Pranchita PR","Manduri SP","Turmalina SP","Meridiano SP","Urupês SP","Reginópolis SP","São Jorge D'Oeste PR","Taquaral SP","Brotas SP","Engenheiro Coelho SP",3515152,3639,4194,3588,3886,3599,3894,3743,4256,3864,3357
"Canela RS","Palotina PR","Guarantã do Norte MT","Itapema SC","Pontal SP","Amparo SP","Capivari SP","Joaçaba SC","Jacarezinho PR","Cordeirópolis SP","Espírito Santo do Pinhal SP",3515186,4681,4161,5225,4437,3715,3288,3386,4446,4078,3405
"Timburi SP","Turvânia GO","Nova Marilândia MT","São José do Calçado ES","Ivolândia GO","Monteiro Lobato SP","Santa Helena SC","Jaboti PR","Coronel Martins SC","Cambira PR","Espírito Santo do Turvo SP",3515194,3876,5553,5316,3163,5443,3621,4539,4077,4382,3964
"Paraisópolis MG","Tapiratiba SP","Teodoro Sampaio SP","Três Marias MG","Iguape SP","Juscimeira MT","Bom Jesus do Norte ES","Jaguariaíva PR","Guaiçara SP","Carvalhópolis MG","Estrela D'Oeste SP",3515202,2796,3863,3873,3057,3498,5238,3110,4080,3463,2403
"Pontal do Araguaia MT","Itapura SP","Lourdes SP","Santa Lúcia SP","Orindiúva SP","João Ramalho SP","Iperó SP","Nova Castilho SP","Vitória Brasil SP","Barbosa Ferraz PR","Estrela do Norte SP",3515301,5269,3530,3574,3791,3652,3556,3507,3637,3906,3941
"Engenheiro Paulo de Frontin RJ","Guarani D'Oeste SP","São João das Duas Pontes SP","Nova Canaã Paulista SP","Caiuá SP","Guapirama PR","Arco-Íris SP","Flora Rica SP","Itaberá SP","Araçaí MG","Euclides da Cunha Paulista SP",3515350,3200,3471,3816,3636,3369,4042,3305,3448,3515,2278
"Perdões MG","Delfinópolis MG","Borda da Mata MG","Paraguaçu MG","Congonhal MG","Boa Vista do Incra RS","Presidente Lucena RS","Bananal SP","Constantina RS","Pratápolis MG","Fartura SP",3515400,2825,2478,2332,2795,2441,4650,4934,3322,4717,2861
"Concórdia SC","Boituva SP","Lins SP","Arujá SP","Lorena SP","Barra Bonita SP","Monte Alto SP","São João da Boa Vista SP","São Francisco do Sul SC","Jales SP","Fernandópolis SP",3515509,4379,3345,3572,3311,3573,3326,3617,3815,4552,3548
"Condor RS","Luzerna SC","Pareci Novo RS","Corupá SC","Santa Gertrudes SP","Carlópolis PR","Torrinha SP","Monte Alegre do Sul SP","Cordilheira Alta SC","Palmitinho RS","Fernando Prestes SP",3515608,4716,4461,4904,4383,3789,3979,3878,3616,4380,4899
"Conceição dos Ouros MG","Capim Branco MG","Nazareno MG","Marilândia do Sul PR","Varjão de Minas MG","Borebi SP","Caetanópolis MG","Anhembi SP","Derrubadas RS","Coqueiral MG","Fernão SP",3515657,2438,2379,2758,4117,3078,3351,2351,3292,4732,2449
"Patos PB","Santo Antônio de Jesus BA","Jacareí SP","Sabará MG","Franca SP","Marília SP","Mesquita RJ","Votorantim SP","Francisco Morato SP","Crato CE","Ferraz de Vasconcelos SP",3515707,1377,2176,3544,2902,3452,3593,3217,3907,3453,941
"Nova Aliança do Ivaí PR","Euclides da Cunha Paulista SP","Itaberá SP","Nortelândia MT","Nantes SP","Madre de Deus BA","Canas SP","Terezópolis de Goiás GO","Engenheiro Paulo de Frontin RJ","Prudente de Morais MG","Flora Rica SP",3515806,4139,3442,3515,5247,3627,2066,3380,5549,3200,2868
"Nova Luzitânia SP","Gabriel Monteiro SP","Monções SP","Torixoréu MT","Alambari SP","Boa Esperança PR","Emilianópolis SP","Guaporema PR","Mendes RJ","Pérola D'Oeste PR","Floreal SP",3515905,3643,3455,3614,5309,3275,3947,3436,4043,3216,4174
"Santa Albertina SP","Conceição de Macabu RJ","Conquista D'Oeste MT","Carapebus RJ","Corbélia PR","Sud Mennucci SP","General Salgado SP","São Jorge do Ivaí PR","Meleiro SC","Pinhalzinho SP","Flórida Paulista SP",3516002,3779,3196,5213,3189,3995,3849,3460,4257,4471,3696
"Barão de Antonina SP","Rubiácea SP","Juranda PR","Santa Rita D'Oeste SP","Parapuã SP","Americano do Brasil GO","Zacarias SP","Confins MG","Ivatuba PR","Ubirajara SP","Florínia SP",3516101,3323,3765,4091,3796,3671,5332,3909,2440,4076,3889
"Mogi das Cruzes SP","Praia Grande SP","Sumaré SP","Sete Lagoas MG","Maringá PR","Volta Redonda RJ","Ponta Grossa PR","Cascavel PR","Limeira SP","Bauru SP","Franca SP",3516200,3610,3726,3850,3033,4120,3266,4186,3980,3570,3334
"Paulista PE","Camaragibe PE","Iguatu CE","Ferraz de Vasconcelos SP","Sobral CE","Crato CE","Mauá SP","Montes Claros MG","Patos PB","Diadema SP","Francisco Morato SP",3516309,1586,1501,967,3447,1057,941,3597,2743,1377,3419
"Senador Canedo GO","Uruguaiana RS","Itapetininga SP","Itabira MG","Itajaí SC","Hortolândia SP","Coronel Fabriciano MG","Lages SC","Pouso Alegre MG","Itapecerica da Serra SP","Franco da Rocha SP",3516408,5542,5076,3522,2604,4436,3484,2456,4451,2857,3521
"Nova Luzitânia SP","Floreal SP","Monções SP","Emilianópolis SP","Torixoréu MT","Boa Esperança PR","Alambari SP","Guaporema PR","Mendes RJ","Mira Estrela SP","Gabriel Monteiro SP",3516507,3643,3449,3614,3436,5309,3947,3275,4043,3216,3604
"Glória D'Oeste MT","Andrelândia MG","Itaguaru GO","Mirim Doce SC","Santa Rosa de Lima SC","Uniflor PR","Pongaí SP","Platina SP","Corumbataí SP","Lobato PR","Gália SP",3516606,5224,2273,5435,4472,4540,4300,3714,3710,3408,4101
"Nova Odessa SP","União da Vitória PR","Salto de Pirapora SP","Pitangueiras SP","Jales SP","Cerquilho SP","Presidente Epitácio SP","Angatuba SP","Pereira Barreto SP","Caçapava SP","Garça SP",3516705,3644,4299,3775,3708,3548,3397,3730,3291,3688,3363
"Cumari GO","Entre Rios do Oeste PR","Santo Cristo RS","Taquarituba SP","Galvão SC","Fátima do Sul MS","Pradópolis SP","Panorama SP","Ribeirão Bonito SP","Marcelândia MT","Gastão Vidigal SP",3516804,5393,4016,4982,3866,4403,5133,3725,3665,3747,5243
