"V1.nome","V2.nome","V3.nome","V4.nome","V5.nome","V6.nome","V7.nome","V8.nome","V9.nome","V10.nome","origem.nome","origem","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Vale do Anari RO","Theobroma RO","Inácio Martins PR","Corumbiara RO","Miranda MS","Urupá RO","Machadinho D'Oeste RO","Barra de São Miguel AL","Aguiar PB","Piedade de Caratinga MG","Governador Jorge Teixeira RO",1101005,51,49,4058,7,5150,50,13,1655,1243,2829
"Nova Ibiá BA","Guamaré RN","São Domingos do Araguaia PA","Cantagalo PR","Nazaré BA","Eliseu Martins PI","Dois Irmãos do Buriti MS","Tobias Barreto SE","Aragominas TO","Tanguá RJ","Itapuã do Oeste RO",1101104,2103,1124,268,3975,2098,744,5129,1824,319,3259
"Tanguá RJ","São Francisco do Guaporé RO","Gandu BA","Buritis RO","Itapuã do Oeste RO","São Miguel do Guaporé RO","Juti MS","Diamante D'Oeste PR","Cardoso Moreira RJ","Dois Irmãos do Buriti MS","Ministro Andreazza RO",1101203,3259,46,1962,28,37,23,5146,4009,3193,5129
"Cacaulândia RO","Rio Manso MG","Sinimbu RS","Padre Bernardo GO","Gramado Xavier RS","Tijucas do Sul PR","Xinguara PA","Tibau do Sul RN","Delta MG","Irupi ES","Mirante da Serra RO",1101302,30,2887,5037,5490,4788,4289,294,1231,2479,3130
"Itaquiraí MS","Juti MS","Barra de São Miguel AL","Miranda MS","Ibirapuã BA","Aguiar PB","Senador Guiomard AC","Cândido de Abreu PR","Machadinho D'Oeste RO","Vale do Anari RO","Monte Negro RO",1101401,5140,5146,1655,5150,1981,1243,70,3973,13,51
"Medeiros Neto BA","Brasiléia AC","Mazagão AP","Monsenhor Hipólito PI","Augusto Severo RN","Matipó MG","Mãe do Rio PA","Itajuípe BA","Pedra Branca do Amapari AP","Cipotânea MG","Nova União RO",1101435,2081,55,304,797,1087,2717,215,2011,297,2423
"Catas Altas da Noruega MG","Pocrane MG","Crisólita MG","Alvarenga MG","Itanagra BA","Benjamin Constant do Sul RS","Flores de Goiás GO","Presidente Juscelino MG","Alvorada de Minas MG","Santa Fé do Araguaia TO","Parecis RO",1101450,2411,2849,2465,2267,2015,4645,5405,2864,2269,425
"Mucajaí RR","Caturaí GO","Quevedos RS","Sengés PR","São Miguel das Missões RS","São José do Goiabal MG","Carlinda MT","Rosário da Limeira MG","Vargem Alta ES","Anaurilândia MS","Pimenteiras do Oeste RO",1101468,145,5378,4940,4273,5007,2988,5204,2899,3168,5104
"Reduto MG","Santa Leopoldina ES","Faina GO","Ramilândia PR","Vale do Paraíso RO","Santa Rita do Pardo MS","Tunas do Paraná PR","Canaã MG","Moeda MG","Sapucaia PA","Primavera de Rondônia RO",1101476,2874,3158,5402,4206,52,5167,4293,2370,2732,278
"Santana do Seridó RN","General Maynard SE","Santa Terezinha do Tocantins TO","Jatobá PE","Messias Targino RN","São João do Jaguaribe CE","Tenente Laurentino Cruz RN","Quixabá PB","Pindoretama CE","Santa Cruz Cabrália BA","São Felipe D'Oeste RO",1101484,1199,1774,430,1555,1158,1053,1230,1397,1031,2165
"Gandu BA","Itaperuçu PR","Buritis RO","Candói PR","Ministro Andreazza RO","Juti MS","Capão Bonito do Sul RS","Monte Negro RO","Itaquiraí MS","Lajedão BA","São Francisco do Guaporé RO",1101492,1962,4071,28,3974,38,5146,4685,40,5140,2052
