"V1.nome","V2.nome","V3.nome","V4.nome","V5.nome","V6.nome","V7.nome","V8.nome","V9.nome","V10.nome","origem.nome","origem","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Jussari BA","São José do Piauí PI","Várzea do Poço BA","Planaltino BA","Barra do Rocha BA","Cristino Castro PI","Itamari BA","Jandaíra RN","Palmeira do Piauí PI","Santa Inês BA","Marcolândia PI",2205953,"2918555","2210201","2933109","2924900","2903102","2203107","2915700","2405108","2207405","2927903"
"Olho-D'Água do Borges RN","Caraúbas PB","Pinhão SE","Paraú RN","Itacuruba PE","Nova Iorque MA","São Francisco PB","Congo PB","Várzea Grande PI","Aiquara BA","Marcos Parente PI",2206001,"2408409","2504074","2805208","2408706","2607406","2107308","2513984","2504702","2211407","2900603"
"Nova Itarana BA","Capim PB","Belo Monte AL","Casserengue PB","Feira Nova do Maranhão MA","São José da Lagoa Tapada PB","Damião PB","São José dos Ramos PB","Jacobina do Piauí PI","Lagoa de São Francisco PI","Massapê do Piauí PI",2206050,"2922805","2504033","2700904","2504157","2104073","2514206","2505352","2514453","2205151","2205573"
"Jequiá da Praia AL","Ninheira MG","Palmeirais PI","Salgado de São Félix PB","Quebrangulo AL","Parnaguá PI","Pureza RN","Caapiranga AM","Taipu RN","Buriti dos Montes PI","Matias Olímpio PI",2206100,"2703759","3144656","2207504","2513109","2707602","2207603","2410405","1300839","2413904","2202026"
"Lábrea AM","Carauari AM","Bom Jardim MA","Luís Correia PI","Batalha PI","Encruzilhada BA","Quipapá PE","Bom Jesus das Selvas MA","Matões MA","Araci BA","Miguel Alves PI",2206209,"1302405","1301001","2102002","2205706","2201507","2910404","2611507","2102036","2106607","2902104"
"Ipueiras TO","Pedro Teixeira MG","Coxixola PB","Crixás do Tocantins TO","Passagem PB","Taboleiro Grande RN","Monte Santo do Tocantins TO","Oliveira Fortes MG","Bodó RN","Passabém MG","Miguel Leão PI",2206308,"1709807","3149408","2504850","1706258","2510709","2413805","1713700","3145703","2401651","3147501"
"Caraúbas do Piauí PI","Queimada Nova PI","Murici dos Portelas PI","Campo Largo do Piauí PI","Cocal dos Alves PI","Ibiquera BA","Ribeira do Piauí PI","São João das Missões MG","Milagres do Maranhão MA","Bonito de Minas MG","Milton Brandão PI",2206357,"2202539","2208650","2206696","2202174","2202729","2912608","2208874","3162450","2106672","3108255"
"Sebastião Laranjeiras BA","Pedras de Maria da Cruz MG","Serra do Mel RN","Santa Cruz da Baixa Verde PE","Fortaleza dos Nogueiras MA","São José do Campestre RN","Ubaí MG","Coronel Murta MG","Marcelino Vieira RN","Licínio de Almeida BA","Monsenhor Gil PI",2206407,"2930006","3149150","2413359","2612471","2104107","2412302","3170008","3119500","2407302","2919405"
"Imbé de Minas MG","São José do Jacuri MG","Campos Lindos TO","Caraíbas BA","Cipotânea MG","Apuarema BA","Almadina BA","Cajueiro da Praia PI","Caatiba BA","Barra de São Miguel PB","Monsenhor Hipólito PI",2206506,"3130556","3163508","1703842","2906899","3116308","2901957","2900900","2202083","2904803","2501708"
"Cabeceiras do Piauí PI","Banzaê BA","Tabocas do Brejo Velho BA","Goiatins TO","Parnaguá PI","Itapitanga BA","Pilar PB","Lajedo do Tabocal BA","Cristalândia do Piauí PI","Machados PE","Monte Alegre do Piauí PI",2206605,"2202059","2902658","2930907","1709005","2207603","2916609","2511509","2919058","2203008","2609105"
