Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Senador Guiomard (AC)";120045;0,354;0,488;0,640;0,535;0,583;0,649;0,677;0,724;0,786;0,123;0,275;0,513
"Sena Madureira (AC)";120050;0,317;0,451;0,603;0,483;0,527;0,593;0,647;0,723;0,810;0,102;0,240;0,456
"Tarauacá (AC)";120060;0,274;0,386;0,539;0,450;0,488;0,554;0,611;0,644;0,720;0,075;0,183;0,392
"Xapuri (AC)";120070;0,348;0,445;0,599;0,496;0,540;0,621;0,646;0,711;0,773;0,131;0,230;0,448
"Água Branca (AL)";270010;0,282;0,392;0,549;0,367;0,459;0,527;0,576;0,675;0,728;0,106;0,195;0,432
"Anadia (AL)";270020;0,302;0,428;0,568;0,433;0,491;0,546;0,537;0,661;0,756;0,118;0,242;0,444
"Arapiraca (AL)";270030;0,359;0,476;0,649;0,532;0,558;0,638;0,525;0,650;0,780;0,165;0,297;0,549
"Atalaia (AL)";270040;0,285;0,407;0,561;0,434;0,474;0,545;0,632;0,701;0,752;0,084;0,203;0,431
"Barra de Santo Antônio (AL)";270050;0,265;0,378;0,557;0,398;0,460;0,552;0,552;0,667;0,732;0,085;0,176;0,428
"Barra de São Miguel (AL)";270060;0,275;0,440;0,615;0,476;0,531;0,638;0,552;0,683;0,767;0,079;0,235;0,475
"Batalha (AL)";270070;0,291;0,401;0,594;0,468;0,551;0,563;0,481;0,622;0,752;0,110;0,188;0,496
"Belém (AL)";270080;0,298;0,416;0,593;0,444;0,465;0,587;0,567;0,655;0,764;0,105;0,236;0,464
"Belo Monte (AL)";270090;0,227;0,331;0,517;0,373;0,419;0,507;0,495;0,629;0,725;0,063;0,137;0,376
"Boca da Mata (AL)";270100;0,333;0,420;0,604;0,450;0,492;0,560;0,576;0,664;0,758;0,143;0,227;0,518
