Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Nova Iorque (MA)";210730;0,320;0,416;0,584;0,339;0,476;0,558;0,522;0,617;0,729;0,185;0,246;0,489
"Nova Olinda do Maranhão (MA)";210735;0,266;0,382;0,581;0,392;0,460;0,536;0,568;0,627;0,755;0,085;0,194;0,484
"Olho D'Água das Cunhãs (MA)";210740;0,276;0,402;0,589;0,417;0,461;0,551;0,511;0,627;0,754;0,099;0,224;0,491
"Olinda Nova do Maranhão (MA)";210745;0,257;0,412;0,575;0,312;0,417;0,495;0,582;0,603;0,724;0,094;0,278;0,531
"Paço do Lumiar (MA)";210750;0,526;0,617;0,724;0,533;0,578;0,646;0,650;0,712;0,796;0,421;0,571;0,739
"Palmeirândia (MA)";210760;0,253;0,383;0,556;0,330;0,413;0,488;0,536;0,608;0,715;0,092;0,223;0,492
"Paraibano (MA)";210770;0,297;0,409;0,580;0,454;0,504;0,572;0,533;0,584;0,723;0,108;0,233;0,473
"Parnarama (MA)";210780;0,223;0,352;0,542;0,362;0,401;0,504;0,530;0,627;0,758;0,058;0,174;0,416
"Passagem Franca (MA)";210790;0,265;0,383;0,532;0,409;0,434;0,525;0,529;0,601;0,717;0,086;0,216;0,401
"Pastos Bons (MA)";210800;0,323;0,431;0,610;0,391;0,457;0,540;0,601;0,637;0,753;0,143;0,275;0,559
"Paulino Neves (MA)";210805;0,201;0,317;0,561;0,368;0,356;0,481;0,489;0,601;0,720;0,045;0,149;0,511
"Paulo Ramos (MA)";210810;0,241;0,358;0,549;0,451;0,429;0,546;0,462;0,552;0,677;0,067;0,193;0,447
"Pedreiras (MA)";210820;0,390;0,502;0,682;0,496;0,533;0,644;0,568;0,699;0,792;0,211;0,339;0,621
"Pedro do Rosário (MA)";210825;0,212;0,316;0,516;0,362;0,377;0,475;0,537;0,588;0,696;0,049;0,143;0,415
"Penalva (MA)";210830;0,277;0,381;0,554;0,388;0,434;0,519;0,501;0,601;0,693;0,109;0,212;0,472
"Peri Mirim (MA)";210840;0,312;0,403;0,599;0,409;0,418;0,506;0,536;0,603;0,744;0,139;0,260;0,572
"Peritoró (MA)";210845;0,238;0,354;0,564;0,389;0,434;0,499;0,509;0,640;0,774;0,068;0,160;0,464
"Pindaré-Mirim (MA)";210850;0,339;0,459;0,633;0,435;0,482;0,568;0,511;0,639;0,755;0,175;0,314;0,592
"Pinheiro (MA)";210860;0,346;0,467;0,637;0,429;0,486;0,579;0,537;0,637;0,771;0,180;0,330;0,579
"Pio Xii (MA)";210870;0,247;0,360;0,541;0,403;0,432;0,535;0,499;0,593;0,727;0,075;0,182;0,408
"Pirapemas (MA)";210880;0,286;0,384;0,576;0,357;0,405;0,501;0,559;0,618;0,741;0,117;0,227;0,514
"Poção de Pedras (MA)";210890;0,265;0,396;0,576;0,386;0,420;0,543;0,545;0,618;0,732;0,088;0,240;0,481
"Porto Franco (MA)";210900;0,340;0,504;0,684;0,492;0,576;0,664;0,636;0,685;0,796;0,126;0,324;0,606
"Porto Rico do Maranhão (MA)";210905;0,308;0,450;0,615;0,436;0,440;0,538;0,504;0,637;0,772;0,133;0,326;0,561
"Presidente Dutra (MA)";210910;0,373;0,496;0,653;0,473;0,540;0,628;0,570;0,678;0,788;0,193;0,333;0,563
"Presidente Juscelino (MA)";210920;0,307;0,371;0,563;0,389;0,369;0,452;0,480;0,603;0,743;0,155;0,230;0,532
"Presidente Médici (MA)";210923;0,280;0,432;0,591;0,368;0,450;0,518;0,511;0,636;0,762;0,117;0,281;0,522
"Presidente Sarney (MA)";210927;0,217;0,328;0,557;0,368;0,411;0,486;0,536;0,627;0,752;0,052;0,137;0,472
"Presidente Vargas (MA)";210930;0,254;0,389;0,587;0,332;0,401;0,470;0,524;0,640;0,768;0,094;0,229;0,560
"Primeira Cruz (MA)";210940;0,268;0,378;0,512;0,380;0,432;0,448;0,518;0,588;0,722;0,098;0,212;0,414
"Raposa (MA)";210945;0,362;0,440;0,626;0,452;0,472;0,568;0,553;0,645;0,735;0,190;0,280;0,587
"Riachão (MA)";210950;0,231;0,380;0,576;0,369;0,468;0,572;0,509;0,639;0,757;0,066;0,183;0,442
"Ribamar Fiquene (MA)";210955;0,131;0,402;0,615;0,416;0,487;0,592;0,540;0,608;0,744;0,010;0,220;0,527
"Rosário (MA)";210960;0,377;0,484;0,632;0,429;0,459;0,566;0,552;0,653;0,752;0,227;0,378;0,592
"Sambaíba (MA)";210970;0,292;0,403;0,565;0,419;0,447;0,542;0,587;0,606;0,728;0,101;0,242;0,456
"Santa Filomena do Maranhão (MA)";210975;0,160;0,337;0,525;0,357;0,409;0,461;0,474;0,603;0,722;0,024;0,155;0,435
"Santa Helena (MA)";210980;0,291;0,398;0,571;0,417;0,489;0,531;0,536;0,618;0,746;0,110;0,208;0,471
"Santa Inês (MA)";210990;0,408;0,512;0,674;0,497;0,554;0,633;0,610;0,678;0,788;0,224;0,358;0,615
"Santa Luzia (MA)";211000;0,261;0,330;0,550;0,409;0,448;0,525;0,570;0,587;0,700;0,076;0,137;0,452
"Santa Luzia do Paruá (MA)";211003;0,288;0,395;0,599;0,409;0,431;0,583;0,579;0,653;0,723;0,101;0,219;0,510
"Santana do Maranhão (MA)";211023;0,192;0,267;0,510;0,349;0,362;0,445;0,509;0,636;0,758;0,040;0,083;0,394
"Santa Quitéria do Maranhão (MA)";211010;0,283;0,383;0,555;0,398;0,441;0,490;0,533;0,631;0,760;0,107;0,202;0,458
"Santa Rita (MA)";211020;0,312;0,446;0,609;0,374;0,448;0,553;0,513;0,625;0,743;0,158;0,316;0,551
"Santo Amaro do Maranhão (MA)";211027;0,216;0,336;0,518;0,366;0,336;0,454;0,489;0,603;0,738;0,056;0,188;0,416
"Santo Antônio dos Lopes (MA)";211030;0,265;0,379;0,566;0,439;0,460;0,547;0,518;0,606;0,714;0,082;0,195;0,465
"São Benedito do Rio Preto (MA)";211040;0,272;0,368;0,541;0,309;0,364;0,468;0,571;0,619;0,749;0,114;0,222;0,452
"São Bento (MA)";211050;0,340;0,449;0,602;0,431;0,449;0,525;0,554;0,631;0,762;0,165;0,319;0,545
"São Bernardo (MA)";211060;0,222;0,374;0,572;0,385;0,398;0,514;0,499;0,625;0,762;0,057;0,211;0,479
"São Domingos do Azeitão (MA)";211065;0,289;0,398;0,590;0,398;0,434;0,576;0,557;0,617;0,732;0,109;0,236;0,486
"São Domingos do Maranhão (MA)";211070;0,283;0,394;0,582;0,417;0,499;0,549;0,487;0,577;0,713;0,112;0,212;0,504
"São Félix de Balsas (MA)";211080;0,257;0,391;0,557;0,333;0,462;0,517;0,557;0,669;0,778;0,092;0,193;0,430
"São Francisco do Brejão (MA)";211085;0,256;0,424;0,584;0,494;0,505;0,556;0,587;0,622;0,748;0,058;0,242;0,479
"São Francisco do Maranhão (MA)";211090;0,270;0,349;0,528;0,403;0,407;0,503;0,555;0,622;0,733;0,088;0,168;0,400
"São João Batista (MA)";211100;0,294;0,433;0,598;0,363;0,472;0,493;0,536;0,627;0,752;0,131;0,275;0,577
"São João do Carú (MA)";211102;0,156;0,281;0,509;0,362;0,408;0,487;0,553;0,587;0,684;0,019;0,093;0,397
"São João do Paraíso (MA)";211105;0,230;0,421;0,609;0,382;0,489;0,554;0,616;0,651;0,753;0,052;0,235;0,542
"São João do Soter (MA)";211107;0,205;0,334;0,517;0,361;0,405;0,486;0,484;0,584;0,711;0,049;0,158;0,401
"São João dos Patos (MA)";211110;0,347;0,478;0,615;0,448;0,516;0,613;0,528;0,637;0,726;0,176;0,332;0,522
"São José de Ribamar (MA)";211120;0,431;0,572;0,708;0,492;0,568;0,642;0,553;0,678;0,790;0,295;0,486;0,700
"São José dos Basílios (MA)";211125;0,208;0,374;0,557;0,326;0,437;0,501;0,451;0,587;0,719;0,061;0,204;0,480
"São Luís (MA)";211130;0,562;0,658;0,768;0,617;0,665;0,741;0,670;0,737;0,813;0,430;0,582;0,752
"São Luís Gonzaga do Maranhão (MA)";211140;0,250;0,336;0,540;0,436;0,403;0,503;0,535;0,593;0,716;0,067;0,159;0,438
"São Mateus do Maranhão (MA)";211150;0,285;0,388;0,616;0,414;0,479;0,627;0,511;0,585;0,723;0,110;0,209;0,515
"São Pedro da Água Branca (MA)";211153;0,249;0,415;0,605;0,481;0,498;0,577;0,487;0,606;0,735;0,066;0,237;0,523
"São Pedro dos Crentes (MA)";211157;0,226;0,365;0,600;0,410;0,401;0,558;0,616;0,651;0,738;0,046;0,186;0,524
"São Raimundo das Mangabeiras (MA)";211160;0,310;0,451;0,610;0,434;0,526;0,583;0,557;0,617;0,749;0,123;0,283;0,521
"São Raimundo do Doca Bezerra (MA)";211163;0,212;0,340;0,516;0,424;0,406;0,478;0,537;0,574;0,700;0,042;0,169;0,410
"São Roberto (MA)";211167;0,198;0,285;0,516;0,370;0,350;0,475;0,488;0,617;0,738;0,043;0,107;0,391
"São Vicente Ferrer (MA)";211170;0,279;0,423;0,592;0,367;0,424;0,504;0,501;0,622;0,762;0,118;0,286;0,541
"Satubinha (MA)";211172;0,191;0,319;0,493;0,384;0,383;0,450;0,519;0,577;0,720;0,035;0,147;0,369
"Senador Alexandre Costa (MA)";211174;0,238;0,362;0,538;0,375;0,445;0,520;0,487;0,550;0,689;0,074;0,194;0,435
"Senador La Rocque (MA)";211176;0,219;0,392;0,602;0,390;0,449;0,570;0,540;0,609;0,743;0,050;0,220;0,515
"Serrano do Maranhão (MA)";211178;0,209;0,343;0,519;0,367;0,378;0,440;0,550;0,618;0,735;0,045;0,173;0,433
"Sítio Novo (MA)";211180;0,286;0,376;0,564;0,375;0,470;0,509;0,607;0,640;0,774;0,103;0,177;0,456
"Sucupira do Norte (MA)";211190;0,259;0,398;0,579;0,337;0,420;0,526;0,529;0,598;0,731;0,098;0,251;0,505
"Sucupira do Riachão (MA)";211195;0,249;0,378;0,568;0,358;0,455;0,538;0,567;0,639;0,761;0,076;0,186;0,447
"Tasso Fragoso (MA)";211200;0,261;0,445;0,599;0,316;0,447;0,562;0,509;0,640;0,777;0,111;0,309;0,491
"Timbiras (MA)";211210;0,241;0,344;0,537;0,368;0,406;0,498;0,542;0,606;0,730;0,070;0,166;0,427
"Timon (MA)";211220;0,362;0,479;0,649;0,470;0,521;0,614;0,593;0,656;0,768;0,170;0,322;0,579
"Trizidela do Vale (MA)";211223;0,328;0,434;0,606;0,455;0,485;0,565;0,535;0,622;0,738;0,145;0,271;0,534
"Tufilândia (MA)";211227;0,214;0,370;0,555;0,399;0,448;0,502;0,494;0,601;0,709;0,050;0,188;0,481
"Tuntum (MA)";211230;0,254;0,387;0,572;0,402;0,446;0,534;0,488;0,603;0,726;0,084;0,216;0,483
"Turiaçu (MA)";211240;0,240;0,329;0,561;0,411;0,414;0,493;0,534;0,648;0,776;0,063;0,133;0,461
"Turilândia (MA)";211245;0,221;0,322;0,536;0,407;0,401;0,495;0,534;0,648;0,774;0,050;0,129;0,402
"Tutóia (MA)";211250;0,236;0,343;0,561;0,384;0,427;0,543;0,466;0,603;0,722;0,073;0,157;0,451
"Urbano Santos (MA)";211260;0,299;0,379;0,588;0,394;0,397;0,506;0,528;0,637;0,770;0,129;0,216;0,522
"Vargem Grande (MA)";211270;0,276;0,363;0,542;0,360;0,407;0,487;0,541;0,637;0,768;0,108;0,185;0,425
"Viana (MA)";211280;0,336;0,457;0,618;0,390;0,466;0,567;0,587;0,627;0,758;0,166;0,327;0,548
"Vila Nova dos Martírios (MA)";211285;0,245;0,379;0,581;0,358;0,467;0,555;0,549;0,608;0,718;0,075;0,192;0,491
"Vitória do Mearim (MA)";211290;0,322;0,438;0,596;0,399;0,489;0,540;0,587;0,622;0,733;0,142;0,276;0,534
"Vitorino Freire (MA)";211300;0,292;0,412;0,570;0,453;0,484;0,563;0,511;0,606;0,688;0,108;0,238;0,477
"Zé Doca (MA)";211400;0,322;0,421;0,595;0,436;0,475;0,559;0,566;0,622;0,745;0,135;0,253;0,505
"Abadia dos Dourados (MG)";310010;0,449;0,575;0,689;0,551;0,616;0,693;0,728;0,799;0,839;0,225;0,387;0,563
"Abaeté (MG)";310020;0,417;0,587;0,698;0,561;0,664;0,720;0,717;0,792;0,848;0,180;0,385;0,556
"Abre Campo (MG)";310030;0,379;0,540;0,654;0,479;0,586;0,646;0,678;0,746;0,823;0,168;0,360;0,525
"Acaiaca (MG)";310040;0,336;0,518;0,630;0,533;0,564;0,610;0,636;0,724;0,823;0,112;0,341;0,499
"Açucena (MG)";310050;0,267;0,443;0,610;0,447;0,501;0,595;0,665;0,757;0,844;0,064;0,229;0,451
"Água Boa (MG)";310060;0,256;0,451;0,576;0,442;0,548;0,594;0,675;0,702;0,799;0,056;0,238;0,403
"Água Comprida (MG)";310070;0,442;0,604;0,675;0,573;0,670;0,719;0,759;0,820;0,860;0,199;0,401;0,498
"Aguanil (MG)";310080;0,405;0,574;0,663;0,515;0,637;0,672;0,703;0,798;0,845;0,183;0,373;0,513
"Águas Formosas (MG)";310090;0,382;0,508;0,645;0,508;0,537;0,624;0,625;0,711;0,811;0,176;0,344;0,531
"Águas Vermelhas (MG)";310100;0,330;0,466;0,601;0,519;0,509;0,586;0,589;0,702;0,808;0,118;0,283;0,458
"Aimorés (MG)";310110;0,429;0,593;0,684;0,545;0,609;0,685;0,679;0,783;0,810;0,213;0,437;0,576
"Aiuruoca (MG)";310120;0,377;0,550;0,668;0,556;0,647;0,677;0,697;0,787;0,871;0,138;0,327;0,505
"Alagoa (MG)";310130;0,441;0,542;0,649;0,573;0,572;0,634;0,675;0,776;0,832;0,222;0,358;0,518
"Albertina (MG)";310140;0,403;0,546;0,673;0,594;0,637;0,684;0,744;0,790;0,813;0,148;0,324;0,549
"Além Paraíba (MG)";310150;0,553;0,650;0,726;0,628;0,689;0,713;0,704;0,759;0,857;0,383;0,524;0,626
"Alfenas (MG)";310160;0,536;0,675;0,761;0,657;0,720;0,737;0,759;0,809;0,841;0,308;0,527;0,712
"Alfredo Vasconcelos (MG)";310163;0,405;0,573;0,675;0,503;0,572;0,629;0,689;0,758;0,834;0,192;0,433;0,587
"Almenara (MG)";310170;0,382;0,529;0,642;0,560;0,598;0,636;0,629;0,711;0,803;0,158;0,349;0,518
"Alpercata (MG)";310180;0,374;0,549;0,646;0,475;0,580;0,629;0,716;0,747;0,824;0,154;0,381;0,521
"Alpinópolis (MG)";310190;0,433;0,633;0,725;0,596;0,655;0,703;0,734;0,810;0,862;0,186;0,477;0,629
"Alterosa (MG)";310200;0,370;0,565;0,668;0,521;0,620;0,657;0,710;0,754;0,847;0,137;0,386;0,536
"Alto Caparaó (MG)";310205;0,398;0,570;0,661;0,559;0,690;0,666;0,697;0,784;0,842;0,162;0,343;0,514
"Alto Jequitibá (MG)";315350;0,406;0,572;0,660;0,527;0,611;0,660;0,678;0,766;0,787;0,187;0,399;0,554
"Alto Rio Doce (MG)";310210;0,298;0,493;0,620;0,448;0,547;0,595;0,657;0,752;0,828;0,090;0,291;0,483
"Alvarenga (MG)";310220;0,315;0,482;0,592;0,443;0,530;0,589;0,649;0,701;0,798;0,109;0,301;0,441
"Alvinópolis (MG)";310230;0,443;0,574;0,676;0,548;0,594;0,651;0,694;0,742;0,822;0,228;0,429;0,577
"Alvorada de Minas (MG)";310240;0,316;0,434;0,572;0,441;0,530;0,570;0,676;0,743;0,794;0,106;0,208;0,414
"Amparo do Serra (MG)";310250;0,353;0,458;0,641;0,456;0,542;0,616;0,630;0,707;0,811;0,153;0,250;0,528
"Andradas (MG)";310260;0,499;0,644;0,734;0,657;0,723;0,731;0,766;0,840;0,878;0,247;0,439;0,617
"Andrelândia (MG)";310280;0,441;0,571;0,700;0,543;0,638;0,675;0,657;0,725;0,818;0,240;0,402;0,621
"Angelândia (MG)";310285;0,289;0,413;0,597;0,437;0,574;0,594;0,628;0,654;0,756;0,088;0,188;0,473
"Antônio Carlos (MG)";310290;0,422;0,564;0,683;0,502;0,601;0,650;0,711;0,766;0,838;0,211;0,389;0,584
"Antônio Dias (MG)";310300;0,330;0,497;0,645;0,492;0,547;0,624;0,677;0,766;0,849;0,108;0,293;0,507
"Antônio Prado de Minas (MG)";310310;0,421;0,590;0,684;0,461;0,604;0,674;0,657;0,739;0,830;0,246;0,460;0,572
"Araçaí (MG)";310320;0,477;0,576;0,695;0,588;0,589;0,659;0,679;0,737;0,805;0,272;0,441;0,632
"Aracitaba (MG)";310330;0,414;0,525;0,661;0,529;0,571;0,608;0,665;0,759;0,823;0,202;0,334;0,577
"Araçuaí (MG)";310340;0,338;0,516;0,663;0,491;0,560;0,633;0,652;0,723;0,821;0,121;0,339;0,560
"Araguari (MG)";310350;0,549;0,673;0,773;0,642;0,703;0,740;0,766;0,815;0,871;0,337;0,533;0,716
"Arantina (MG)";310360;0,471;0,606;0,697;0,502;0,571;0,633;0,688;0,758;0,834;0,302;0,515;0,641
"Araponga (MG)";310370;0,277;0,393;0,536;0,442;0,503;0,597;0,587;0,667;0,760;0,082;0,181;0,339
"Araporã (MG)";310375;0,428;0,605;0,708;0,572;0,683;0,676;0,734;0,790;0,813;0,187;0,410;0,646
"Arapuá (MG)";310380;0,459;0,648;0,724;0,549;0,681;0,718;0,744;0,810;0,871;0,236;0,493;0,608
"Araújos (MG)";310390;0,434;0,608;0,698;0,558;0,634;0,694;0,711;0,788;0,855;0,206;0,450;0,574
"Araxá (MG)";310400;0,549;0,683;0,772;0,643;0,711;0,756;0,707;0,771;0,858;0,364;0,582;0,709
"Arceburgo (MG)";310410;0,461;0,571;0,683;0,583;0,646;0,687;0,666;0,725;0,810;0,252;0,397;0,573
"Arcos (MG)";310420;0,478;0,669;0,749;0,586;0,672;0,717;0,727;0,825;0,874;0,257;0,541;0,671
"Areado (MG)";310430;0,478;0,605;0,727;0,586;0,680;0,700;0,710;0,785;0,847;0,263;0,415;0,649
"Argirita (MG)";310440;0,411;0,551;0,643;0,488;0,604;0,645;0,706;0,759;0,817;0,201;0,364;0,505
"Aricanduva (MG)";310445;0,210;0,413;0,582;0,386;0,474;0,553;0,666;0,697;0,787;0,036;0,213;0,454
"Arinos (MG)";310450;0,349;0,514;0,656;0,492;0,548;0,607;0,660;0,744;0,815;0,131;0,334;0,570
"Astolfo Dutra (MG)";310460;0,491;0,632;0,694;0,575;0,640;0,686;0,709;0,807;0,858;0,291;0,488;0,567
"Ataléia (MG)";310470;0,283;0,460;0,588;0,436;0,533;0,592;0,650;0,715;0,813;0,080;0,255;0,423
"Augusto de Lima (MG)";310480;0,315;0,510;0,656;0,471;0,568;0,622;0,637;0,720;0,815;0,104;0,325;0,557
"Baependi (MG)";310490;0,430;0,581;0,681;0,545;0,625;0,664;0,692;0,785;0,833;0,211;0,399;0,570
"Baldim (MG)";310500;0,430;0,592;0,671;0,539;0,591;0,650;0,713;0,766;0,787;0,207;0,459;0,590
"Bambuí (MG)";310510;0,498;0,645;0,741;0,591;0,658;0,735;0,719;0,811;0,870;0,291;0,502;0,636
"Bandeira (MG)";310520;0,249;0,431;0,599;0,409;0,487;0,583;0,627;0,705;0,811;0,060;0,233;0,454
"Bandeira do Sul (MG)";310530;0,419;0,539;0,692;0,579;0,653;0,681;0,709;0,790;0,802;0,179;0,303;0,608
"Barão de Cocais (MG)";310540;0,459;0,613;0,722;0,567;0,604;0,679;0,679;0,761;0,858;0,251;0,502;0,647
"Barão de Monte Alto (MG)";310550;0,405;0,497;0,649;0,477;0,558;0,619;0,650;0,723;0,827;0,215;0,304;0,533
"Barbacena (MG)";310560;0,541;0,664;0,769;0,621;0,683;0,751;0,717;0,791;0,881;0,355;0,542;0,687
"Barra Longa (MG)";310570;0,359;0,487;0,624;0,508;0,538;0,613;0,636;0,724;0,823;0,143;0,296;0,482
"Barroso (MG)";310590;0,493;0,602;0,734;0,544;0,619;0,675;0,711;0,771;0,864;0,309;0,458;0,678
"Bela Vista de Minas (MG)";310600;0,426;0,574;0,674;0,502;0,590;0,644;0,603;0,707;0,795;0,255;0,454;0,597
"Belmiro Braga (MG)";310610;0,389;0,521;0,660;0,550;0,579;0,653;0,718;0,776;0,830;0,149;0,315;0,531
"Belo Horizonte (MG)";310620;0,602;0,726;0,810;0,740;0,792;0,841;0,727;0,784;0,856;0,406;0,617;0,737
"Belo Oriente (MG)";310630;0,382;0,544;0,686;0,498;0,569;0,655;0,606;0,711;0,813;0,185;0,397;0,606
"Belo Vale (MG)";310640;0,373;0,560;0,655;0,498;0,589;0,672;0,675;0,757;0,814;0,155;0,394;0,514
"Berilo (MG)";310650;0,340;0,497;0,628;0,510;0,503;0,580;0,698;0,762;0,816;0,110;0,320;0,524
"Berizal (MG)";310665;0,242;0,440;0,604;0,417;0,440;0,560;0,589;0,682;0,757;0,058;0,284;0,520
"Bertópolis (MG)";310660;0,316;0,437;0,594;0,473;0,496;0,576;0,606;0,711;0,799;0,110;0,236;0,455
"Betim (MG)";310670;0,450;0,612;0,749;0,590;0,634;0,709;0,680;0,779;0,864;0,227;0,465;0,687
"Bias Fortes (MG)";310680;0,371;0,515;0,620;0,490;0,516;0,605;0,714;0,749;0,796;0,146;0,353;0,495
"Bicas (MG)";310690;0,575;0,673;0,744;0,639;0,710;0,726;0,727;0,784;0,850;0,409;0,548;0,667
"Biquinhas (MG)";310700;0,410;0,563;0,688;0,523;0,606;0,684;0,717;0,792;0,857;0,184;0,372;0,555
"Boa Esperança (MG)";310710;0,453;0,617;0,704;0,620;0,679;0,694;0,733;0,805;0,855;0,204;0,430;0,587
"Bocaina de Minas (MG)";310720;0,372;0,529;0,645;0,528;0,618;0,665;0,685;0,774;0,848;0,142;0,310;0,476
"Bocaiúva (MG)";310730;0,410;0,577;0,700;0,540;0,575;0,648;0,688;0,792;0,822;0,186;0,422;0,644
"Bom Despacho (MG)";310740;0,492;0,665;0,750;0,620;0,706;0,742;0,711;0,786;0,861;0,270;0,529;0,661
"Bom Jardim de Minas (MG)";310750;0,451;0,576;0,673;0,572;0,588;0,653;0,715;0,797;0,822;0,225;0,407;0,569
"Bom Jesus da Penha (MG)";310760;0,418;0,618;0,735;0,578;0,634;0,696;0,700;0,787;0,862;0,180;0,472;0,662
"Bom Jesus do Amparo (MG)";310770;0,410;0,555;0,683;0,509;0,613;0,655;0,652;0,750;0,834;0,207;0,372;0,582
"Bom Jesus do Galho (MG)";310780;0,348;0,470;0,623;0,453;0,529;0,615;0,608;0,709;0,800;0,153;0,276;0,491
"Bom Repouso (MG)";310790;0,385;0,539;0,653;0,564;0,660;0,647;0,725;0,781;0,821;0,140;0,304;0,523
"Bom Sucesso (MG)";310800;0,444;0,590;0,692;0,545;0,633;0,680;0,721;0,783;0,808;0,222;0,414;0,602
"Bonfim (MG)";310810;0,356;0,515;0,637;0,505;0,586;0,669;0,674;0,742;0,834;0,132;0,314;0,464
"Bonfinópolis de Minas (MG)";310820;0,428;0,567;0,678;0,569;0,589;0,655;0,697;0,787;0,796;0,197;0,394;0,598
"Bonito de Minas (MG)";310825;0,239;0,336;0,537;0,357;0,381;0,514;0,588;0,673;0,776;0,065;0,148;0,388
"Borda da Mata (MG)";310830;0,507;0,615;0,730;0,622;0,678;0,703;0,744;0,776;0,865;0,282;0,443;0,640
"Botelhos (MG)";310840;0,456;0,602;0,702;0,608;0,714;0,702;0,737;0,824;0,868;0,211;0,371;0,568
"Botumirim (MG)";310850;0,344;0,479;0,602;0,478;0,455;0,540;0,651;0,732;0,782;0,131;0,329;0,517
"Brasilândia de Minas (MG)";310855;0,392;0,564;0,674;0,526;0,620;0,646;0,676;0,761;0,848;0,170;0,381;0,559
"Brasília de Minas (MG)";310860;0,345;0,513;0,656;0,461;0,538;0,612;0,652;0,730;0,813;0,137;0,343;0,568
"Brasópolis (MG)";310890;0,437;0,579;0,692;0,537;0,652;0,697;0,675;0,743;0,841;0,231;0,400;0,566
"Brás Pires (MG)";310870;0,352;0,490;0,625;0,425;0,497;0,582;0,698;0,751;0,801;0,147;0,315;0,523
"Braúnas (MG)";310880;0,343;0,459;0,624;0,477;0,510;0,635;0,657;0,715;0,802;0,129;0,265;0,478
"Brumadinho (MG)";310900;0,477;0,627;0,747;0,596;0,676;0,761;0,706;0,771;0,857;0,258;0,473;0,639
"Bueno Brandão (MG)";310910;0,369;0,550;0,658;0,579;0,656;0,662;0,708;0,814;0,848;0,123;0,312;0,507
"Buenópolis (MG)";310920;0,377;0,544;0,669;0,486;0,587;0,650;0,603;0,689;0,796;0,183;0,398;0,579
"Bugre (MG)";310925;0,259;0,464;0,627;0,429;0,502;0,602;0,695;0,724;0,800;0,058;0,274;0,511
"Buritis (MG)";310930;0,377;0,566;0,672;0,497;0,661;0,666;0,665;0,723;0,815;0,162;0,379;0,558
"Buritizeiro (MG)";310940;0,326;0,497;0,624;0,478;0,524;0,603;0,593;0,695;0,768;0,122;0,338;0,524
"Cabeceira Grande (MG)";310945;0,352;0,523;0,648;0,531;0,574;0,638;0,697;0,771;0,788;0,118;0,324;0,542
"Cabo Verde (MG)";310950;0,377;0,588;0,674;0,581;0,711;0,686;0,655;0,754;0,847;0,141;0,379;0,527
"Cachoeira da Prata (MG)";310960;0,516;0,651;0,741;0,627;0,635;0,689;0,693;0,776;0,834;0,316;0,560;0,707
"Cachoeira de Minas (MG)";310970;0,469;0,608;0,706;0,524;0,623;0,673;0,721;0,803;0,821;0,273;0,450;0,637
"Cachoeira de Pajeú (MG)";310270;0,284;0,417;0,578;0,457;0,477;0,563;0,625;0,678;0,771;0,080;0,224;0,444
"Cachoeira Dourada (MG)";310980;0,431;0,616;0,726;0,518;0,660;0,695;0,724;0,787;0,850;0,214;0,449;0,648
"Caetanópolis (MG)";310990;0,430;0,603;0,706;0,587;0,653;0,674;0,688;0,748;0,845;0,197;0,450;0,617
"Caeté (MG)";311000;0,501;0,661;0,728;0,578;0,669;0,690;0,685;0,778;0,844;0,318;0,555;0,663
"Caiana (MG)";311010;0,384;0,538;0,633;0,497;0,629;0,631;0,642;0,737;0,833;0,177;0,336;0,483
"Cajuri (MG)";311020;0,334;0,534;0,617;0,427;0,571;0,599;0,618;0,723;0,804;0,141;0,369;0,487
"Caldas (MG)";311030;0,467;0,602;0,687;0,620;0,670;0,701;0,744;0,826;0,873;0,221;0,394;0,529
"Camacho (MG)";311040;0,344;0,536;0,690;0,524;0,546;0,639;0,665;0,756;0,840;0,117;0,374;0,612
"Camanducaia (MG)";311050;0,413;0,559;0,689;0,609;0,667;0,707;0,699;0,801;0,837;0,166;0,327;0,553
"Cambuí (MG)";311060;0,457;0,654;0,751;0,618;0,670;0,722;0,700;0,801;0,872;0,220;0,521;0,674
"Cambuquira (MG)";311070;0,466;0,600;0,699;0,595;0,673;0,691;0,730;0,827;0,856;0,233;0,388;0,577
"Campanário (MG)";311080;0,372;0,534;0,616;0,501;0,567;0,607;0,636;0,728;0,831;0,162;0,369;0,464
"Campanha (MG)";311090;0,469;0,630;0,709;0,595;0,682;0,715;0,733;0,803;0,849;0,237;0,456;0,587
"Campestre (MG)";311100;0,431;0,578;0,698;0,578;0,649;0,712;0,699;0,790;0,843;0,198;0,377;0,566
"Campina Verde (MG)";311110;0,446;0,621;0,704;0,594;0,677;0,714;0,754;0,830;0,868;0,198;0,427;0,562
"Campo Azul (MG)";311115;0,337;0,488;0,621;0,513;0,530;0,550;0,652;0,701;0,799;0,114;0,312;0,546
"Campo Belo (MG)";311120;0,488;0,632;0,711;0,581;0,659;0,706;0,719;0,808;0,868;0,278;0,474;0,586
