"NM_MUNICIPIO_CONVENENTE","cod7","total.pjs","documentos.liquidacao","licitacao","dispensa","beneficiarios.pjs","acima10K","acima1M","top10pc.quanto"
"CAMPO LARGO DO PIAUI",2202174,90108.05,4,0.958383296497927,0.0416167035020733,2,1,0,0.958383296497927
"CAMPO LIMPO DE GOIAS",5204854,191000,1,1,0,1,1,0,1
"CAMPO LIMPO PAULISTA",3509601,359400.81,8,1,0,2,1,0,0.98319425045258
"CAMPO MAGRO",4104253,249000,1,1,0,1,1,0,1
"CAMPO MAIOR",2202208,520271.72,4,1,0,1,1,0,1
"CAMPO MOURAO",4104303,1667509.99,75,0.49737796173563,0.50262203826437,41,15,0,0.74924677962499
"CAMPO NOVO",4304002,235570.86,6,1,0,5,5,0,0.638792336199817
"CAMPO NOVO DE RONDONIA",1100700,4227508.05,38,1,0,14,14,1,0.376003149183832
"CAMPO NOVO DO PARECIS",5102637,879890.5,3,1,0,1,1,0,1
"CAMPO REDONDO",2402105,115748.78,4,1,0,2,2,0,0.729615983857454
"CAMPO VERDE",5102678,368688.26,5,1,0,4,3,0,0.567303824645786
"CAMPOS ALTOS",3111507,939438.73,8,1,0,5,4,0,0.575955315361546
"CAMPOS BORGES",4304101,759727.26,6,1,0,3,3,0,0.523477333168221
"CAMPOS DE JULIO",5102686,450000,1,1,0,1,1,0,1
"CAMPOS DO JORDAO",3509700,215800,1,1,0,1,1,0,1
"CAMPOS DOS GOYTACAZES",3301009,476770,2,1,0,2,2,0,0.92658934077228
"CAMPOS GERAIS",3111606,182101,5,1,0,5,4,0,0.591979176391124
"CAMPOS LINDOS",1703842,1051378.82,8,1,0,2,1,1,0.991448572266274
"CAMPOS NOVOS",4203600,1213875.47,14,1,0,5,5,0,0.460313750305869
"CAMPOS SALES",2302701,244651.63,5,1,0,2,2,0,0.534906838756807
"CAMPOS VERDES",5204953,79000,1,1,0,1,1,0,1
"CANA VERDE",3111903,154603.07,7,1,0,1,1,0,1
"CANAPOLIS",2906105,957435.22,17,1,0,4,4,0,0.52370959363705
"CANAPOLIS",3111804,361537.34,8,1,0,1,1,0,1
"CANARANA",2906204,104046.24,2,1,0,2,2,0,0.510464770279061
"CANARANA",5102702,730277.93,30,1,0,12,11,0,0.209680443170452
"CANAVIEIRAS",2906303,729241.39,4,1,0,2,2,0,0.773182087209833
"CANDEIAS",2906501,394708.29,2,1,0,1,1,0,1
"CANDEIAS",3112000,95500,1,1,0,1,1,0,1
"CANDEIAS DO JAMARI",1100809,238779.94,4,1,0,1,1,0,1
"CANDELARIA",4304200,798958.58,9,1,0,4,2,0,0.755984121229413
"CANDIBA",2906600,430396.17,2,1,0,1,1,0,1
"CANDIDO DE ABREU",4104402,453800,4,1,0,4,4,0,0.751211987659762
"CANDIDO GODOI",4304309,938749.84,28,1,0,9,9,0,0.280786924022272
"CANDIDO MOTA",3510005,300207.39,2,1,0,1,1,0,1
"CANDIDO RODRIGUES",3510104,143195.38,2,1,0,2,2,0,0.910643904852238
