"NM_MUNICIPIO_CONVENENTE","cod7","total.pjs","documentos.liquidacao","licitacao","dispensa","beneficiarios.pjs","acima10K","acima1M","top10pc.quanto"
"LARANJEIRAS DO SUL",4113304,990838.99,31,1,0,13,11,0,0.251806804655517
"LAURENTINO",4209508,359633.35,3,1,0,1,1,0,1
"LAURO DE FREITAS",2919207,13197.57,3,1,0,2,0,0,0.737044774151605
"LAURO MULLER",4209607,59850.15,2,1,0,1,1,0,1
"LAVANDEIRA",1712157,411801.96,14,1,0,3,3,0,0.485670345036726
"LAVRAS DO SUL",4311502,133172.65,6,1,0,3,3,0,0.529312888194385
"LEANDRO FERREIRA",3138302,124424.32,1,1,0,1,1,0,1
"LEBON REGIS",4209706,823325.47,8,1,0,5,4,0,0.60137635484543
"LEME",3526704,338036.04,7,1,0,2,2,0,0.780035170214395
"LEME DO PRADO",3138351,302730,12,1,0,3,3,0,0.553958973342582
"LENCOIS",2919306,20683.51,1,1,0,1,1,0,1
"LENCOIS PAULISTA",3526803,149141.42,1,1,0,1,1,0,1
"LEOBERTO LEAL",4209805,30971.81,1,1,0,1,1,0,1
"LEOPOLDINA",3138401,507545,5,1,0,3,3,0,0.906323577219754
"LEOPOLDO DE BULHOES",5212303,153750,3,1,0,1,1,0,1
"LEOPOLIS",4113403,174900,1,1,0,1,1,0,1
"LIBERATO SALZANO",4311601,2740701.67,39,1,0,16,16,0,0.296602876882984
"LICINIO DE ALMEIDA",2919405,26883.95,1,1,0,1,1,0,1
"LIDIANOPOLIS",4113429,658013.53,15,1,0,6,6,0,0.468835344464726
"LIMA CAMPOS",2106003,406600,4,1,0,1,1,0,1
"LIMA DUARTE",3138609,196158.47,2,1,0,1,1,0,1
"LIMEIRA",3526902,403551.4,4,1,0,1,1,0,1
"LIMEIRA DO OESTE",3138625,386284.39,16,0.998302183528565,0.00169781647143443,5,1,0,0.996356725675609
"LIMOEIRO",2608909,1501220,23,1,0,19,15,0,0.335726942087102
"LIMOEIRO DE ANADIA",2704203,39906.27,1,1,0,1,1,0,1
"LINDOESTE",4113452,349340,13,1,0,9,8,0,0.189500200377855
"LINDOIA DO SUL",4209854,530203.84,8,1,0,2,2,0,0.537529113331205
"LINHARES",3203205,344529.05,21,0.614256040238116,0.385743959761884,9,6,0,0.385743959761884
"LINS",3527108,574701.93,10,1,0,5,4,0,0.524295420410368
"LIVRAMENTO",2508505,150500,2,1,0,2,2,0,0.782724252491694
"LIVRAMENTO DE NOSSA SENHORA",2919504,853810.72,7,1,0,2,2,0,0.584216979613468
"LOANDA",4113502,382640,7,1,0,4,3,0,0.493936859711478
"LOBATO",4113601,683171.53,6,1,0,4,4,0,0.373259114003185
"LONDRINA",4113700,3663058.06,40,1,0,22,22,0,0.291172157942809
"LONTRA",3138658,123582.46,1,1,0,1,1,0,1
"LONTRAS",4209904,485020,6,1,0,5,5,0,0.445342460104738
"LORENA",3527207,18102.44,6,1,0,1,1,0,1
"LOUVEIRA",3527306,107900,5,1,0,4,4,0,0.261353104726599
"LUCAS DO RIO VERDE",5105259,193450,5,1,0,2,2,0,0.806926854484363
"LUCELIA",3527405,500777.76,7,1,0,4,4,0,0.399179068974629
"LUCENA",2508604,166011.32,4,1,0,1,1,0,1
"LUCIANOPOLIS",3527504,349645.06,2,1,0,1,1,0,1
"LUCRECIA",2406908,24253.91,1,1,0,1,1,0,1
"LUIS ANTONIO",3527603,214579.69,4,1,0,2,2,0,0.521389932104012
"LUIS CORREIA",2205706,1186772.02,2,1,0,1,1,1,1
"LUIS EDUARDO MAGALHAES",2919553,177190,1,1,0,1,1,0,1
"LUISBURGO",3138674,283758.44,5,1,0,4,4,0,0.521570389236704
"LUISLANDIA",3138682,165113.06,4,1,0,1,1,0,1
"LUIZ ALVES",4210001,642461.85,10,1,0,3,3,0,0.496183827880208
"LUIZIANA",4113734,324290.13,7,1,0,5,5,0,0.634549068761359
"LUIZIANIA",3527702,460070.89,3,1,0,1,1,0,1
"LUMINARIAS",3138708,365800,1,1,0,1,1,0,1
"LUNARDELLI",4113759,371680,7,1,0,4,4,0,0.339001291433491
"LUTECIA",3527900,341500,8,1,0,3,3,0,0.445095168374817
"LUZ",3138807,507450,6,1,0,4,4,0,0.76460735047788
"LUZERNA",4210035,246000,1,1,0,1,1,0,1
"LUZIANIA",5212501,1742830.73,22,1,0,10,10,0,0.525524357721188
"LUZINOPOLIS",1712454,625276.02,11,0.970048795410385,0.0299512045896147,3,3,0,0.781396574268113
"MACAJUBA",2919603,781579.29,4,1,0,2,2,0,0.676578827977901
"MACAMBARA",4311718,267870,8,1,0,4,4,0,0.556239967148244
"MACAMBIRA",2803708,402790,6,1,0,1,1,0,1
"MACAPA",1600303,6048237.83,95,1,0,17,13,2,0.558850895914587
"MACATUBA",3528007,529860.86,2,1,0,1,1,0,1
"MACAUBAL",3528106,162400,1,1,0,1,1,0,1
"MACEDONIA",3528205,1696833.3,8,1,0,5,4,1,0.683071483804567
"MACEIO",2704302,2466854.1,233,0.905009481509263,0.0949905184907368,95,35,0,0.633183514987773
"MACHADINHO",4311700,635550,6,1,0,6,6,0,0.330422468727874
"MACHADINHO D'OESTE",1100130,2698832.75,19,1,0,5,5,1,0.646676145455846
"MACHADO",3139003,165230,3,1,0,3,3,0,0.497488349573322
"MACIEIRA",4210050,897189.8,10,0.9933238206676,0.0066761793323999,5,4,0,0.829255972370618
"MACURURE",2919900,195492.12,2,1,0,1,1,0,1
"MAFRA",4210100,123500,2,1,0,2,2,0,0.516599190283401
"MAGALHAES DE ALMEIDA",2106300,388000,1,1,0,1,1,0,1
"MAIQUINIQUE",2920007,644339.59,8,1,0,2,2,0,0.965034602328254
"MAIRI",2920106,1586756.98,5,0.609419402081345,0.390580597918655,1,1,1,1
"MAIRINQUE",3528403,625683.35,9,1,0,3,3,0,0.518780210469082
"MAIRIPORA",3528502,732495.46,19,0.984969190116209,0.015030809883791,2,2,0,0.984969190116209
"MAIRIPOTABA",5212600,289973.51,5,1,0,1,1,0,1
"MAJOR VIEIRA",4210308,217990,2,1,0,2,2,0,0.620211936327354
"MALACACHETA",3139201,1200100,13,1,0,5,5,0,0.488875927006083
"MALHADA DOS BOIS",2803807,257610.68,8,1,0,2,2,0,0.722019754771037
"MALHADOR",2803906,119795.07,6,1,0,1,1,0,1
"MALLET",4113908,756094.51,20,0.87649434195733,0.12350565804267,9,8,0,0.257904266491764
"MALTA",2508802,851397.82,11,1,0,3,3,0,0.600279561439328
"MAMBORE",4114005,574412.31,6,1,0,5,4,0,0.503993377161433
"MAMPITUBA",4311734,614000,6,1,0,2,2,0,0.806188925081433
"MANACAPURU",1302504,658828.54,2,1,0,1,1,0,1
"MANAUS",1302603,285000,2,0,1,2,2,0,0.613636350877193
"MANCIO LIMA",1200336,2087977.88,17,1,0,4,4,1,0.608036446248176
"MANDAGUACU",4114104,52593.03,2,1,0,1,1,0,1
"MANDAGUARI",4114203,304059.33,4,1,0,2,2,0,0.936988185825444
"MANDIRITUBA",4114302,926875.26,12,1,0,4,4,0,0.484423330060617
"MANDURI",3528601,447117.23,6,1,0,2,2,0,0.820370577085567
"MANFRINOPOLIS",4114351,34828.99,1,1,0,1,1,0,1
"MANGA",3139300,375325.2,3,1,0,2,2,0,0.722427377644773
"MANGUEIRINHA",4114401,582256.36,10,1,0,7,6,0,0.570474524314342
"MANHUACU",3139409,119000,1,1,0,1,1,0,1
"MANOEL RIBAS",4114500,364463.35,15,1,0,7,5,0,0.414307776076799
"MANOEL VIANA",4311759,571937.99,8,1,0,6,3,0,0.814773643555309
"MANTENA",3139607,1044403.23,11,1,0,2,2,0,0.854318010870189
"MANTENOPOLIS",3203304,198000,1,1,0,1,1,0,1
"MAQUINE",4311775,94000,1,1,0,1,1,0,1
"MAR DE ESPANHA",3139805,133064.23,2,1,0,1,1,0,1
"MAR VERMELHO",2704906,77493.55,1,1,0,1,1,0,1
"MARA ROSA",5212808,267002.89,3,1,0,2,2,0,0.93444681441463
"MARABA",1504208,920940.41,6,1,0,2,2,0,0.943711341757715
"MARABA PAULISTA",3528700,291543.29,5,1,0,1,1,0,1
"MARACAI",3528809,641188.21,5,1,0,3,3,0,0.382240668461449
"MARACAJA",4210407,405633.76,14,1,0,6,3,0,0.839577455288731
"MARACAJU",5005400,2666656.59,17,1,0,6,6,0,0.257671854927522
"MARACANAU",2307650,4371523.18,53,1,0,9,8,2,0.52704754959117
"MARANGUAPE",2307700,771312.46,22,1,0,5,5,0,0.627539155791675
"MARAPANIM",1504406,148082.17,3,1,0,1,1,0,1
"MARAPOAMA",3528858,150752.76,3,1,0,1,1,0,1
"MARATA",4311791,885912.09,6,1,0,3,3,0,0.588450350643708
"MARATAIZES",3203320,223500,2,1,0,1,1,0,1
"MARAU",4311809,2130698.82,38,1,0,1,1,1,1
"MARAVILHA",4210506,2687858,16,1,0,5,5,1,0.394281669641774
"MARAVILHAS",3139706,475212.92,11,1,0,4,4,0,0.482415335003939
"MARCELANDIA",5105580,174700,4,1,0,1,1,0,1
"MARCELINO RAMOS",4311908,521765.24,18,1,0,3,3,0,0.459040755570455
"MARECHAL CANDIDO RONDON",4114609,475575.61,6,1,0,2,2,0,0.589260916891848
"MARECHAL DEODORO",2704708,72086.12,1,1,0,1,1,0,1
"MARECHAL FLORIANO",3203346,1388604.68,18,1,0,13,10,0,0.177875678771297
"MARECHAL THAUMATURGO",1200351,2152330.43,16,1,0,6,6,0,0.302627975203603
"MAREMA",4210555,359657.82,7,1,0,4,4,0,0.68578467166375
"MARIA HELENA",4114708,1125482.48,10,1,0,4,4,0,0.570971953290646
"MARIALVA",4114807,1077025.56,22,1,0,11,11,0,0.273438264547779
"MARIANO MORO",4312005,146302.78,2,1,0,1,1,0,1
"MARIANOPOLIS DO TOCANTINS",1712504,39550.36,3,1,0,2,1,0,0.876025654380896
"MARILAC",3140100,1018000,7,1,0,4,4,0,0.450884086444008
"MARILANDIA",3203353,616000,4,1,0,3,3,0,0.378246753246753
"MARILANDIA DO SUL",4114906,329331.9,2,1,0,1,1,0,1
"MARILENA",4115002,689278,10,1,0,10,9,0,0.364511851531603
"MARILIA",3529005,3664274.77,14,1,0,3,3,1,0.880788527766437
"MARILUZ",4115101,864750,10,1,0,6,6,0,0.584562012142238
"MARINGA",4115200,3344488.06,60,1,0,35,12,1,0.906704418014876
"MARINOPOLIS",3529104,347355.22,4,1,0,2,2,0,0.595137795827568
"MARIOPOLIS",4115309,991530.6,11,1,0,8,8,0,0.406678452485481
"MARIPA",4115358,129968.99,2,1,0,1,1,0,1
"MARIPA DE MINAS",3140209,280000,5,1,0,1,1,0,1
"MARIZOPOLIS",2509156,686766.67,6,1,0,1,1,0,1
"MARMELEIRO",4115408,967647.9,13,1,0,6,5,0,0.546565377757757
"MARQUES DE SOUZA",4312054,330300.17,3,1,0,2,2,0,0.64426245981042
"MARQUINHO",4115457,1112684.35,14,1,0,5,5,0,0.318195056846086
"MARTINHO CAMPOS",3140506,136737.39,2,1,0,1,1,0,1
"MARTINOPOLE",2307908,237103.42,1,1,0,1,1,0,1
"MARTINOPOLIS",3529203,186128.55,2,1,0,2,2,0,0.586583036294002
"MARTINS",2407401,215194.41,2,1,0,1,1,0,1
"MARTINS SOARES",3140530,51317.24,1,1,0,1,1,0,1
"MARUIM",2804003,606940.94,10,1,0,3,3,0,0.430756343442576
"MARZAGAO",5212907,91789.99,2,1,0,1,1,0,1
"MASSAPE",2308005,73860.35,2,1,0,1,1,0,1
"MASSAPE DO PIAUI",2206050,182874.22,6,0.840752840941714,0.159247159058286,3,3,0,0.526619170269052
"MASSARANDUBA",2509206,150100,2,1,0,2,2,0,0.784810126582278
"MATAO",3529302,365112.93,4,1,0,2,2,0,0.70777194880499
"MATELANDIA",4115606,997490.9,17,1,0,5,5,0,0.707910458130495
"MATEUS LEME",3140704,104592.55,1,1,0,1,1,0,1
"MATIAS BARBOSA",3140803,136805.13,3,1,0,1,1,0,1
"MATINA",2921054,253360.45,3,1,0,2,2,0,0.570092332879895
"MATINHA",2106508,1168400.42,12,0.998385827351894,0.00161417264810637,9,8,0,0.512195981579671
"MATINHAS",2509339,118296.36,3,1,0,1,1,0,1
"MATINHOS",4115705,83000,1,1,0,1,1,0,1
"MATIPO",3140902,114700,2,1,0,2,2,0,0.736704446381866
"MATO GROSSO",2509370,124332.07,2,1,0,1,1,0,1
"MATO LEITAO",4312153,223781.4,3,1,0,2,2,0,0.608993419470966
"MATO QUEIMADO",4312179,882323.28,12,1,0,3,3,0,0.604709625252096
"MATO RICO",4115739,642000,3,1,0,3,3,0,0.426791277258567
"MATOS COSTA",4210704,587017.97,6,1,0,3,3,0,0.571222666318035
"MATRIZ DE CAMARAGIBE",2705101,552049.44,16,1,0,3,3,0,0.619056872877183
"MATUPA",5105606,1642407.28,13,1,0,7,6,0,0.395564966078329
"MATUREIA",2509396,55272.18,2,1,0,1,1,0,1
"MAUA",3529401,92884.93,3,0.950724514730215,0.0492754852697849,3,2,0,0.525682476156251
"MAUES",1302900,776000,2,1,0,2,2,0,0.734536082474227
"MAURILANDIA",5213004,431500,2,1,0,2,2,0,0.579374275782155
"MAURILANDIA DO TOCANTINS",1712801,404778.52,6,1,0,5,5,0,0.444687628187385
"MAURITI",2308104,342676.84,5,1,0,2,2,0,0.603471159591643
"MAXIMILIANO DE ALMEIDA",4312203,473609.97,15,1,0,3,3,0,0.712932964650216
"MAZAGAO",1600402,25025061.35,96,1,0,15,15,6,0.216091799910812
"MEDEIROS NETO",2921104,297244.92,4,1,0,2,2,0,0.524988618813065
"MEDIANEIRA",4115804,426626.16,11,1,0,7,6,0,0.417762872300189
"MELEIRO",4210803,1181760.9,16,1,0,7,7,0,0.473784502431922
"MENDES",3302809,65565.19,5,1,0,2,1,0,0.922913820580707
"MENDES PIMENTEL",3141504,275201.72,3,1,0,3,3,0,0.555955827601659
"MENDONCA",3529500,277000,1,1,0,1,1,0,1
"MERCEDES",4115853,267031.31,5,1,0,1,1,0,1
"MERCES",3141603,266522.46,3,1,0,1,1,0,1
"MERIDIANO",3529609,380900,2,1,0,2,2,0,0.735101076398005
"MESOPOLIS",3529658,326899.56,4,1,0,3,2,0,0.748153071848735
"MESQUITA",3302858,263707.8,7,1,0,2,2,0,0.713476431110494
"MESSIAS",2705200,655357.8,7,1,0,3,3,0,0.54656882087922
"MESSIAS TARGINO",2407609,216462.82,8,1,0,3,3,0,0.700686935520844
"MIGUEL ALVES",2206209,90818.86,2,0.951227090936838,0.0487729090631615,2,1,0,0.951227090936838
"MIGUEL CALMON",2921203,138823.73,2,1,0,1,1,0,1
"MILAGRES",2308302,763796.21,10,1,0,4,4,0,0.380245615515688
"MILHA",2308351,1081673.12,12,1,0,3,3,0,0.782103192136271
"MIMOSO DE GOIAS",5213053,83350.28,2,1,0,1,1,0,1
"MIMOSO DO SUL",3203403,755000,5,1,0,3,3,0,0.401324503311258
"MINAS DO LEAO",4312252,309975.06,8,1,0,1,1,0,1
"MINAS NOVAS",3141801,1325665.46,15,1,0,6,6,0,0.437516113605313
"MINDURI",3141900,353495.23,8,1,0,1,1,0,1
"MINEIROS",5213103,610797.68,10,1,0,4,4,0,0.585512767501016
"MINEIROS DO TIETE",3529807,133531.15,5,1,0,1,1,0,1
"MINISTRO ANDREAZZA",1101203,1578770.32,11,1,0,6,6,0,0.314536714878197
"MIRA ESTRELA",3530003,539349.56,17,0.987466384509519,0.0125336154904808,12,6,0,0.317048557525476
"MIRABELA",3142007,123000,3,1,0,2,2,0,0.784552845528455
"MIRACATU",3529906,1351928.55,15,1,0,6,5,0,0.326493659742595
"MIRACEMA",3303005,496993.7,7,1,0,4,4,0,0.362137387254607
"MIRACEMA DO TOCANTINS",1713205,648866.39,2,1,0,1,1,0,1
"MIRADOR",4115903,17261.91,2,1,0,1,1,0,1
"MIRADOURO",3142106,303554.4,3,1,0,3,3,0,0.527267600140205
"MIRAGUAI",4312302,98330,2,1,0,2,2,0,0.872571951591579
"MIRAI",3142205,264900,1,1,0,1,1,0,1
"MIRAIMA",2308377,1578980.87,9,1,0,1,1,1,1
"MIRANDA DO NORTE",2106755,499000,4,1,0,1,1,0,1
"MIRANDOPOLIS",3530102,1181056.74,18,0.758462730588202,0.241537269411798,7,7,0,0.461968008412534
"MIRANORTE",1713304,436231.75,2,1,0,2,2,0,0.661418500602031
"MIRANTE",2921450,489560.3,19,1,0,2,2,0,0.755908904378071
"MIRANTE DO PARANAPANEMA",3530201,380366.75,5,1,0,2,1,0,0.976434401797739
"MIRASELVA",4116000,95500,1,1,0,1,1,0,1
"MIRASSOL",3530300,383602.63,12,1,0,6,4,0,0.493159053680106
"MIRASSOL D'OESTE",5105622,202470.78,3,1,0,2,2,0,0.513654365336075
"MIRASSOLANDIA",3530409,198897.94,9,1,0,2,2,0,0.630272993274842
"MIRAVANIA",3142254,82904.51,2,1,0,1,1,0,1
"MIRIM DOCE",4210852,229500,1,1,0,1,1,0,1
"MIRINZAL",2106805,237524.62,3,1,0,2,2,0,0.513104704682824
"MISSAL",4116059,1923120.53,24,1,0,4,4,1,0.596237834349363
"MISSAO VELHA",2308401,173683.33,5,1,0,3,3,0,0.379358629293899
"MOCOCA",3530508,781583.55,7,1,0,3,3,0,0.394399523889672
"MODELO",4210902,78537.5,3,1,0,3,2,0,0.702848957504377
"MOEMA",3142403,662562.97,184,1,0,6,6,0,0.428638503597628
"MOGEIRO",2509404,152400,3,1,0,1,1,0,1
"MOGI DAS CRUZES",3530607,1419332.47,46,1,0,24,10,0,0.592720217272279
"MOIPORA",5213400,239625,3,1,0,3,3,0,0.504413145539906
"MOITA BONITA",2804102,808886.12,12,0.971565836733606,0.028434163266394,4,4,0,0.449327106762569
"MOMBUCA",3530904,257828.32,4,1,0,1,1,0,1
"MONCOES",3531001,139500,1,1,0,1,1,0,1
"MONDAI",4211009,1337030,11,1,0,2,2,1,0.847460415996649
"MONGAGUA",3531100,258076.98,2,1,0,1,1,0,1
"MONJOLOS",3142502,104651,2,1,0,2,2,0,0.859045780737881
"MONSENHOR GIL",2206407,335251.79,4,1,0,3,3,0,0.561906022932793
"MONSENHOR HIPOLITO",2206506,338845.73,5,0.957046647747339,0.0429533522526608,4,4,0,0.368899439871944
"MONTALVANIA",3142700,297323.77,7,1,0,2,2,0,0.829651023192663
"MONTANHA",3203502,1674000,10,1,0,6,6,0,0.324671445639188
"MONTAURI",4312351,1043554.77,5,1,0,4,4,0,0.388096544276253
"MONTE ALEGRE",2407807,223227.28,2,1,0,2,2,0,0.838861271794379
"MONTE ALEGRE DE GOIAS",5213509,188276.71,2,1,0,1,1,0,1
"MONTE ALEGRE DE MINAS",3142809,712500,2,1,0,2,2,0,0.684210526315789
"MONTE ALEGRE DE SERGIPE",2804201,83666.57,2,1,0,1,1,0,1
"MONTE ALTO",3531308,121755,6,1,0,5,4,0,0.256129111740791
"MONTE APRAZIVEL",3531407,122980.01,1,1,0,1,1,0,1
"MONTE AZUL PAULISTA",3531506,210000,3,1,0,1,1,0,1
"MONTE BELO DO SUL",4312385,239770.22,7,1,0,2,2,0,0.771447847026207
"MONTE CARLO",4211058,246309.5,3,1,0,2,2,0,0.519439972879649
"MONTE CARMELO",3143104,670058.98,11,1,0,6,6,0,0.593901420439138
"MONTE CASTELO",4211108,500243.85,7,1,0,4,4,0,0.511350614305403
"MONTE DO CARMO",1713601,490000,1,1,0,1,1,0,1
"MONTE HOREBE",2509602,150350,3,1,0,1,1,0,1
"MONTE MOR",3531803,96000,3,1,0,1,1,0,1
"MONTE NEGRO",1101401,2618286.5,14,1,0,9,9,0,0.295574987687558
"MONTE SANTO",2921500,410767.29,3,1,0,1,1,0,1
"MONTE SANTO DO TOCANTINS",1713700,550000,13,1,0,2,2,0,0.727272727272727
"MONTE SIAO",3143401,442052.53,8,1,0,3,3,0,0.407191425869681
"MONTEIRO",2509701,990000,3,1,0,3,3,0,0.492929292929293
"MONTEIRO LOBATO",3531704,184000,10,1,0,1,1,0,1
"MONTENEGRO",4312401,635014.66,3,1,0,3,3,0,0.669275887268492
"MONTES CLAROS",3143302,1061658.52,38,0.65966975897297,0.34033024102703,17,13,0,0.34033024102703
"MORADA NOVA DE MINAS",3143500,1448557.14,382,0.848126508837615,0.151873491162385,81,19,0,0.758377684707695
"MOREIRA SALES",4116109,765747.12,12,1,0,7,6,0,0.33316823966638
"MORMACO",4312427,631895.66,23,1,0,3,3,0,0.516534106279508
"MORRINHOS",2308906,1995661.54,20,0.958573681787744,0.0414263182122556,12,12,0,0.28060720155984
"MORRINHOS",5213806,639400,4,1,0,2,2,0,0.766343446981545
"MORRINHOS DO SUL",4312443,890300,4,1,0,4,4,0,0.351342244187353
"MORRO AGUDO",3531902,209486.58,2,1,0,1,1,0,1
"MORRO AGUDO DE GOIAS",5213855,533289.69,11,1,0,2,2,0,0.569652284108474
"MORRO DA FUMACA",4211207,809878.56,13,1,0,8,6,0,0.419816027726429
"MORRO DA GARCA",3143609,201681.5,6,1,0,4,4,0,0.493600057516431
"MORRO DO CHAPEU DO PIAUI",2206670,82051.83,4,0.825686885959765,0.174313114040235,2,2,0,0.825686885959765
"MORRO GRANDE",4211256,2188700,13,1,0,7,7,1,0.530451866404715
"MORRO REDONDO",4312450,442821.61,13,1,0,5,2,0,0.694184730505813
"MORRO REUTER",4312476,191000,1,1,0,1,1,0,1
"MORROS",2107100,92059.8,1,1,0,1,1,0,1
"MORUNGABA",3532009,213623.62,2,1,0,1,1,0,1
"MOSSAMEDES",5213905,67549.96,2,1,0,1,1,0,1
"MOSTARDAS",4312500,245746.68,4,1,0,3,3,0,0.708046188050231
"MUCAJAI",1400308,3575931.32,20,1,0,6,6,1,0.498894816581656
"MUCUGE",2921906,3988303.97,13,1,0,9,8,2,0.3678255245926
"MUCUM",4312609,915930,8,1,0,8,7,0,0.37120740667955
"MUCURICI",3203601,1059400,6,1,0,6,6,0,0.235982631678308
"MUITOS CAPOES",4312617,240267.43,6,1,0,3,3,0,0.46614724267871
"MULITERNO",4312625,634600,4,1,0,4,4,0,0.453829183737788
"MULUNGU DO MORRO",2922052,647024.73,6,1,0,3,3,0,0.664580471290487
"MUNDO NOVO",2922102,39402.63,1,1,0,1,1,0,1
"MUNHOZ DE MELO",4116307,406408,6,1,0,4,4,0,0.635956969350997
"MUNIZ FERREIRA",2922201,3997.67,1,1,0,1,0,0,1
"MUNIZ FREIRE",3203700,111499.99,2,1,0,2,2,0,0.641255662892885
"MUQUEM DE SAO FRANCISCO",2922250,68396.63,1,1,0,1,1,0,1
"MURIAE",3143906,99900,1,1,0,1,1,0,1
"MURIBECA",2804300,159618.93,2,1,0,1,1,0,1
"MURICI",2705507,69706.55,1,1,0,1,1,0,1
"MURICI DOS PORTELAS",2206696,43853.67,1,1,0,1,1,0,1
"MURICILANDIA",1713957,540293.07,7,0.98614774015147,0.01385225984853,3,2,0,0.669837927034674
"MURUTINGA DO SUL",3532108,490129.99,7,1,0,5,5,0,0.341746074342441
"MUTUM",3144003,483530.89,7,1,0,4,4,0,0.488553875017168
"MUTUNOPOLIS",5214101,258500,1,1,0,1,1,0,1
"MUZAMBINHO",3144102,741179.25,32,1,0,8,7,0,0.577188311734307
"NACIP RAYDAN",3144201,116665.99,1,1,0,1,1,0,1
"NANTES",3532157,155000,1,1,0,1,1,0,1
"NANUQUE",3144300,228000,1,1,0,1,1,0,1
"NAO-ME-TOQUE",4312658,352497.1,12,1,0,5,4,0,0.608089655205674
"NAQUE",3144359,205680,3,1,0,3,2,0,0.890217814080124
"NATAL",2408102,3991594.41,25,0.920402794631632,0.0795972053683681,17,16,2,0.37254172074061
"NATALANDIA",3144375,96500,1,1,0,1,1,0,1
"NATIVIDADE",1714203,238550.58,1,1,0,1,1,0,1
"NATIVIDADE",3303104,182553.68,3,1,0,2,2,0,0.661492827753459
"NAVEGANTES",4211306,565554.78,5,1,0,3,3,0,0.582787276592375
"NAVIRAI",5005707,1383661.31,34,1,0,4,4,0,0.563269084975716
"NAZARE DA MATA",2609501,518100,10,1,0,9,9,0,0.405327156919514
"NAZARE PAULISTA",3532405,347065.5,4,1,0,3,3,0,0.658377165117247
"NAZAREZINHO",2510006,390062.51,5,1,0,1,1,0,1
"NEOPOLIS",2804409,398673.71,3,1,0,2,2,0,0.501663377803367
"NEPOMUCENO",3144607,244816.55,6,1,0,2,2,0,0.526775987979571
"NHAMUNDA",1303007,1885245.22,16,1,0,3,3,0,0.407771886566566
"NICOLAU VERGUEIRO",4312674,478779.7,5,1,0,2,2,0,0.582731473368649
"NILO PECANHA",2922607,548000,3,1,0,2,2,0,0.638686131386861
"NILOPOLIS",3303203,1071650.84,10,0.990916817645568,0.00908318235443178,7,5,0,0.567442283719947
"NINHEIRA",3144656,359140.8,9,1,0,2,2,0,0.690315998627836
"NIPOA",3532702,283100,4,1,0,3,3,0,0.561638996820911
"NISIA FLORESTA",2408201,212362.54,7,1,0,2,1,0,0.965264354061691
"NITEROI",3303302,1268841,19,0.875161663281688,0.124838336718312,14,8,0,0.391948242529994
"NONOAI",4312708,566378.41,9,1,0,4,3,0,0.566758891815809
"NORDESTINA",2922656,59566.59,2,1,0,1,1,0,1
"NORMANDIA",1400407,1721988,16,1,0,4,4,0,0.435485032416021
"NORTELANDIA",5106000,353892.68,7,1,0,3,2,0,0.5636949032119
"NOSSA SENHORA DA GLORIA",2804508,260908.88,6,1,0,3,3,0,0.865017664404523
"NOSSA SENHORA DAS GRACAS",4116406,958511.71,12,1,0,5,5,0,0.522685320140742
"NOSSA SENHORA DE LOURDES",2804706,169537.21,5,1,0,1,1,0,1
"NOSSA SENHORA DO LIVRAMENTO",5106109,168000,2,1,0,1,1,0,1
"NOSSA SENHORA DO SOCORRO",2804805,3092698.6,34,1,0,5,5,1,0.50269551323236
"NOVA ALIANCA",3532801,160575,3,1,0,1,1,0,1
"NOVA ALIANCA DO IVAI",4116505,338526.26,9,1,0,3,3,0,0.473402742818238
"NOVA ALVORADA",4312757,1156349.48,32,1,0,3,3,0,0.55472196865605
"NOVA ALVORADA DO SUL",5006002,675684.32,7,1,0,4,4,0,0.448434262911414
"NOVA AMERICA",5214705,434500,7,1,0,3,3,0,0.447640966628308
"NOVA AMERICA DA COLINA",4116604,274804.55,6,1,0,3,3,0,0.457068669350635
"NOVA ANDRADINA",5006200,96071.38,3,1,0,2,2,0,0.510985269494411
"NOVA ARACA",4312807,1399701.7,20,1,0,7,7,0,0.609745419327561
"NOVA AURORA",4116703,1343630.79,26,1,0,11,10,0,0.340115754566774
"NOVA AURORA",5214804,95000,1,1,0,1,1,0,1
"NOVA BANDEIRANTES",5106158,215000,2,1,0,1,1,0,1
"NOVA BASSANO",4312906,233800,1,1,0,1,1,0,1
"NOVA BELEM",3144672,451625.76,4,1,0,2,2,0,0.585953423028837
"NOVA BOA VISTA",4312955,697310.85,38,0.977054709531624,0.0229452904683758,13,6,0,0.47324661591025
"NOVA BRASILANDIA",5106208,355358.84,4,0.439613434127599,0.560386565872401,2,2,0,0.560386565872401
"NOVA BRASILANDIA D'OESTE",1100148,1591159,8,1,0,8,8,0,0.191055702164271
"NOVA BRESCIA",4313003,707588.3,9,1,0,4,3,0,0.585380368782242
"NOVA CAMPINA",3532827,4891.1,1,1,0,1,0,0,1
"NOVA CANAA",2922706,264191.32,5,1,0,1,1,0,1
"NOVA CANAA DO NORTE",5106216,168440,3,1,0,3,3,0,0.652754690097364
"NOVA CANAA PAULISTA",3532843,157090,5,1,0,1,1,0,1
"NOVA CANDELARIA",4313011,1461893.16,10,1,0,3,3,0,0.396745819646629
"NOVA CANTU",4116802,98050,2,1,0,2,2,0,0.736868944416114
"NOVA CRIXAS",5214838,919641.36,7,1,0,3,3,0,0.482253212273967
"NOVA CRUZ",2408300,810828.58,12,1,0,1,1,0,1
