"origem","NM_ORGAO_SUPERIOR","zscore","total","media"
1100700,"MINISTERIO DA SAUDE",-0.0840998219355732,19966,21933.5
1100700,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1.83702797652589,72054,23524.5
1100809,"MINISTERIO DA DEFESA",-0.707106781186547,20743,47574
1100809,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.707106781186548,3624,12909.5
1100809,"MINISTERIO DO ESPORTE",1.10961887204003,26096,15561.6
1100908,"MINISTERIO DA DEFESA",1,55763,55763
1100908,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-1.07346711043631,5010,20786.6666666667
1100908,"MINISTERIO DO TURISMO",1.15343005638432,24432,14827.6666666667
1100924,"MINISTERIO DA DEFESA",0.707106781186547,74405,47574
1100924,"MINISTERIO DO ESPORTE",-1.12766636414097,2505,13997.5
1100940,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.296554384747372,17229,21224.625
1100940,"MINISTERIO DA DEFESA",-0.707106781186548,81032,95512.5
1100940,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.5881839328544,23511,16336.6666666667
1100940,"MINISTERIO DO ESPORTE",-0.664353005508576,9635,11692.75
1101005,"MINISTERIO DA DEFESA",-0.23183318401078,131352,146091.5
1101005,"MINISTÉRIO DA PESCA E AQUICULTURA",1,13503,13503
1101005,"MINISTERIO DO DESENV. SOCIAL E COMBATE A FOME",1,13277,13277
1101005,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.736670866532451,19207,34738
1101005,"MINISTERIO DO ESPORTE",-0.626730268570549,9635,20659.2857142857
1101104,"MINISTERIO DA DEFESA",-1.06864360694248,10325,81798.3333333333
1101104,"MINISTERIO DO TURISMO",-0.799724853581063,9635,14422
1101203,"MINISTERIO DA DEFESA",1,87685,87685
1101203,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.312127422728472,14678,12045.25
1101203,"MINISTERIO DO ESPORTE",-0.611177322175576,11317,26800.3333333333
1101203,"MINISTERIO DO TURISMO",0.0257975262526136,12216,12193.6666666667
1101302,"MINISTERIO DA DEFESA",-0.707106781186548,21901,53041
1101302,"MINISTERIO DO DESENV. SOCIAL E COMBATE A FOME",0.707106781186547,13277,7891
1101302,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.920532280967274,11388,20023.6666666667
1101401,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-1.25861922972667,6959,12779.1666666667
1101401,"MINISTERIO DA DEFESA",-0.200520193305459,142223,162405.4
1101401,"MINISTERIO DAS CIDADES",-0.608368472212757,2381,17774
1101401,"MINISTERIO DO ESPORTE",-0.676887966398286,9635,17050.5714285714
1101435,"MINISTERIO DA DEFESA",0.745013389188843,248090,178681.25
1101435,"MINISTERIO DA SAUDE",-1.23481766522823,9983,13441
1101450,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",1.59105528860794,21892,10679.8
1101450,"MINISTERIO DA DEFESA",1,81749,81749
1101450,"MINISTÉRIO DA PESCA E AQUICULTURA",1,15588,15588
1101450,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.966270364494121,29420,23012.5
1101450,"MINISTERIO DO ESPORTE",1.15470053837925,13048,10772.6666666667
1101468,"MINISTERIO DA DEFESA",0.707106781186547,89125,78588.5
1101468,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.707106781186547,2505,2918
1101476,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.848309790871053,5780,18171.25
1101476,"MINISTERIO DA DEFESA",1,38794,38794
1101476,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.457180402620546,9234,17232.5
1101484,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-1.47428836322024,5780,25411.75
1101484,"MINISTERIO DA DEFESA",-0.707106781186548,62786,87631.5
1101484,"MINISTERIO DO TURISMO",-0.52305919576148,11317,15103.7142857143
1101492,"MINISTERIO DA CULTURA",1,14723,14723
1101492,"MINISTERIO DA DEFESA",1.78971858314064,333335,137574.833333333
1101492,"MINISTERIO DAS CIDADES",-0.64595428505459,1430,17774
1101492,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-1.11118378969006,11970,15543.75
1101492,"MINISTERIO DO ESPORTE",-0.172618225150206,15355,17153.6
1101500,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",0.59244095717975,21892,16860.375
1101500,"MINISTERIO DA DEFESA",1.09847666217298,109993,86242.6666666667
1101500,"MINISTERIO DA SAUDE",0.716813139873436,9983,7078.66666666667
1101500,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-1.24098375527821,2505,17271.75
1101559,"MINISTERIO DA DEFESA",0.707106781186548,40800,30771.5
1101559,"MINISTERIO DA SAUDE",-0.707106781186547,2451,9615
1101559,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1.68793371241466,23024,9973.8
1101609,"MINISTERIO DA DEFESA",-0.050730345287022,139774,143884.428571429
1101609,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1.22131485480234,52696,31757.8333333333
1101609,"MINISTERIO DO ESPORTE",1.35474768964746,31052,17300.25
1101708,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.802013848646656,4892,17002.375
1101708,"MINISTERIO DA DEFESA",-0.209057241128587,95990,110925.25
1101708,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1.73139121183842,25247,14477.4
1101708,"MINISTERIO DO ESPORTE",-0.475519055972079,9983,19119.5714285714
1101757,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-1.08650347933449,6110,21525.6
1101757,"MINISTERIO DA DEFESA",-0.62293612813189,93411,143884.428571429
1101757,"MINISTERIO DAS CIDADES",-0.772332896147394,5036,43879.6
1101757,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.36445232034133,21953,27488.4
1101807,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.685811936823881,4892,28667.4285714286
1101807,"MINISTERIO DA DEFESA",1,84995,84995
1101807,"MINISTERIO DO ESPORTE",-0.579250729100815,9635,13224.7142857143
1200013,"MINISTERIO DA DEFESA",-0.707106781186548,21152,69405.5
1200013,"MINISTERIO DA SAUDE",-0.5,16779,25250.25
1200054,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.707106781186548,17769,18492
1200054,"MINISTERIO DA DEFESA",1,94062,94062
1200054,"MINISTERIO DA SAUDE",1.12665009997426,64506,27949
1200054,"MINISTERIO DAS CIDADES",0.214622140217482,21134,19717.4
1200054,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.506847295304573,13338,11293.2
1200054,"MINISTERIO DO ESPORTE",-0.00361012388038688,21892,21907.6
1200104,"MINISTERIO DA DEFESA",0.834928421227678,177202,142307.333333333
1200104,"MINISTERIO DA INTEGRACAO NACIONAL",1,13190,13190
1200104,"MINISTERIO DA SAUDE",0.707106781186548,56208,36493.5
1200104,"MINISTERIO DAS CIDADES",1.6018488272296,54682,23244.4
1200104,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.911396139537254,9983,18210.75
1200104,"MINISTERIO DO ESPORTE",-0.949497789819476,1373,21417.75
1200138,"MINISTERIO DA DEFESA",-0.991145515128618,65727,137606.666666667
1200138,"MINISTÉRIO DA PESCA E AQUICULTURA",1,16779,16779
1200138,"MINISTERIO DA SAUDE",1.06836828189368,79020,40716.5
1200138,"MINISTERIO DAS CIDADES",-0.174123297779708,40568,48646.1428571429
1200138,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.718445791351729,8346,20465.3333333333
1200179,"MINISTERIO DA DEFESA",1,26997,26997
1200179,"MINISTERIO DA SAUDE",1.15073860620163,36519,17937.3333333333
1200179,"MINISTERIO DO ESPORTE",0.968344523023998,38818,23385.5
1200203,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",1.14897318206874,38076,20150
1200203,"MINISTERIO DA DEFESA",1,321789,321789
1200203,"MINISTERIO DA INTEGRACAO NACIONAL",-0.996263753944817,1221,17175
1200203,"MINISTERIO DA SAUDE",-1.06653214299487,1506,25131.5
1200203,"MINISTERIO DAS CIDADES",-0.59182633162464,22049,42492.375
1200203,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1.48022102760371,35280,18270.5
1200203,"MINISTERIO DO ESPORTE",1.36239270741537,50188,26584.2
1200203,"MINISTERIO DO TURISMO",-0.212172651104456,21892,25305.5
1200252,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.426946220730464,15859,24861.625
1200252,"MINISTERIO DA DEFESA",0.707106781186547,161252,154685
1200252,"MINISTERIO DA INTEGRACAO NACIONAL",-0.856100182806821,13277,16504
1200252,"MINISTERIO DA SAUDE",0.912199188270985,23006,17775.6666666667
1200252,"MINISTERIO DAS CIDADES",2.00705159570687,61676,21663.1666666667
1200252,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.310874996764101,13277,11425.4
1200252,"MINISTERIO DO ESPORTE",0.33235940129706,28874,24483
1200302,"MINISTERIO DA DEFESA",-0.707106781186548,74530,146915
1200302,"MINISTERIO DA INTEGRACAO NACIONAL",-0.232818212850385,16444,18053.5
