"n1","n2","n3","n4","n5","n6","origem","origem.nome","n1.nome","n2.nome","n3.nome"
1200609,2604700,2909208,2205003,2603702,2205706,1200302,"Feijó AC","Tarauacá AC","Correntes PE","Coronel João Sá BA"
1300201,2703304,1303502,2916500,1303601,1503457,1200328,"Jordão AC","Atalaia do Norte AM","Inhapi AL","Pauini AM"
2414704,2407401,2804300,2404853,2306256,2403400,1200336,"Mâncio Lima AC","Várzea RN","Martins RN","Muribeca SE"
1508050,3166303,2207751,3132305,2926657,2902906,1200344,"Manoel Urbano AC","Trairão PA","Sericita MG","Passagem Franca do Piauí PI"
2105963,2504157,2205458,2506251,2103554,2100303,1200351,"Marechal Thaumaturgo AC","Lagoa Grande do Maranhão MA","Casserengue PB","Joca Marques PI"
2605509,2921302,2411502,2203305,3148400,2804003,1200385,"Plácido de Castro AC","Ferreiros PE","Milagres BA","Santo Antônio RN"
2504033,2702009,2612109,2921450,2104073,2514206,1200393,"Porto Walter AC","Capim PB","Coité do Nóia AL","Salgadinho PE"
2504009,5201108,1600303,2408003,1400100,2611101,1200401,"Rio Branco AC","Campina Grande PB","Anápolis GO","Macapá AP"
2802700,2210631,2508505,2920809,2210904,2706208,1200427,"Rodrigues Alves AC","Ilha das Flores SE","Sebastião Leal PI","Livramento PB"
2705804,1503101,2919603,2912608,1506005,2202729,1200435,"Santa Rosa do Purus AC","Olho D'Água do Casado AL","Gurupá PA","Macajuba BA"
4117800,3158805,5005608,4111258,4107736,4304622,1200450,"Senador Guiomard AC","Palmital PR","Santana do Jacaré MG","Miranda MS"
3101003,2605400,1200013,3105202,3156601,2604502,1200500,"Sena Madureira AC","Águas Vermelhas MG","Feira Nova PE","Acrelândia AC"
1200302,2909208,2604700,2603702,2205003,2608008,1200609,"Tarauacá AC","Feijó AC","Coronel João Sá BA","Correntes PE"
3161601,4110201,2802304,1100379,1200138,1101708,1200708,"Xapuri AC","São Geraldo da Piedade MG","Inácio Martins PR","Frei Paulo SE"
2513901,1712405,1706506,2905602,1504976,3163003,1200807,"Porto Acre AC","São Bento PB","Lizarda TO","Darcinópolis TO"
3162450,1507201,2206696,1508035,2405900,3108255,1300029,"Alvarães AM","São João das Missões MG","São Domingos do Capim PA","Murici dos Portelas PI"
2108454,2111805,2102705,2112407,2104099,2410405,1300060,"Amaturá AM","Peritoró MA","Sítio Novo MA","Cantanhede MA"
2612802,1713957,2615201,2904407,2200103,2930808,1300086,"Anamã AM","Santa Terezinha PE","Muricilândia TO","Terra Nova PE"
2507101,2208205,2501609,1301407,2501005,2104404,1300102,"Anori AM","Itapororoca PB","Pio Ix PI","Barra de Santa Rosa PB"
2905008,2201804,2506202,2411056,2806602,3166956,1300144,"Apuí AM","Caculé BA","Bocaina PI","Frei Martinho PB"
1200328,1303601,2703304,1503457,2104081,2209658,1300201,"Atalaia do Norte AM","Jordão AC","Santa Isabel do Rio Negro AM","Inhapi AL"
3171030,2928505,2514404,1302900,3156502,2511707,1300300,"Autazes AM","Verdelândia MG","Santa Teresinha BA","São José de Espinharas PB"
1303502,2201988,1301506,1505486,2207553,2924405,1300409,"Barcelos AM","Pauini AM","Brejo do Piauí PI","Envira AM"
2930758,2107209,2303931,2106409,2308807,2205854,1300508,"Barreirinha AM","Sítio do Mato BA","Nina Rodrigues MA","Choró CE"
2907103,2310308,2905503,2206605,2110609,2925253,1300607,"Benjamin Constant AM","Carinhanha BA","Parambu CE","Caldeirão Grande BA"
2207553,1301506,2924405,2205458,2201988,2701605,1300631,"Beruri AM","Paquetá PI","Envira AM","Pilão Arcado BA"
2107258,2313906,2109270,1503002,2901155,1718550,1300680,"Boa Vista do Ramos AM","Nova Colinas MA","Uruoca CE","Presidente Sarney MA"
1721109,1716208,2202778,2414100,2708006,1200054,1300706,"Boca do Acre AM","Tocantínia TO","Paranã TO","Colônia do Piauí PI"
2707602,1500404,1301308,2409506,2703106,1303106,1300805,"Borba AM","Quebrangulo AL","Alenquer PA","Codajás AM"
2413904,1303205,2610202,2911659,2508208,2503902,1300839,"Caapiranga AM","Taipu RN","Novo Airão AM","Panelas PE"
2207850,2203859,2508406,1507474,2805406,2708105,1300904,"Canutama AM","Pavussu PI","Floresta do Piauí PI","Lastro PB"
2501302,2603801,2500809,2900405,2206670,2614709,1301001,"Carauari AM","Aroeiras PB","Capoeiras PE","Araçagi PB"
2905909,2210409,2110807,2206100,2207504,2913804,1301100,"Careiro AM","Campo Alegre de Lourdes BA","São Miguel do Tapuio PI","São Félix de Balsas MA"
2205276,2202026,2206100,2207504,2510402,2410405,1301159,"Careiro da Várzea AM","Jatobá do Piauí PI","Buriti dos Montes PI","Matias Olímpio PI"
1501576,2513901,2905602,2922102,5007950,2613008,1301209,"Coari AM","Bom Jesus do Tocantins PA","São Bento PB","Camacan BA"
2703106,2503506,2206902,2509800,2208106,2803203,1301308,"Codajás AM","Igaci AL","Cacimba de Dentro PB","Novo Oriente do Piauí PI"
2913705,2501005,2507101,2700409,1300102,2501609,1301407,"Eirunepé AM","Inhambupe BA","Araruna PB","Itapororoca PB"
2207553,1300631,2201988,2205458,2924405,2701605,1301506,"Envira AM","Paquetá PI","Beruri AM","Brejo do Piauí PI"
2107902,2702553,1200393,2104651,2921450,2505279,1301605,"Fonte Boa AM","Passagem Franca MA","Estrela de Alagoas AL","Porto Walter AC"
2702504,2703809,2709202,2805406,2210623,3143153,1301654,"Guajará AM","Dois Riachos AL","Joaquim Gomes AL","Traipu AL"
1506187,4106456,3135506,3159357,3157906,1710904,1301704,"Humaitá AM","Rondon do Pará PA","Coronel Domingos Soares PR","Jequeri MG"
1500305,1501105,1501956,1500701,2202729,1502806,1301803,"Ipixuna AM","Afuá PA","Bagre PA","Cachoeira do Piriá PA"
3157252,3170057,1101450,3153202,1718865,2512705,1301852,"Iranduba AM","Santa Bárbara do Leste MG","Ubaporanga MG","Parecis RO"
2904605,3302270,2929503,3100906,2933208,2607604,1301902,"Itacoatiara AM","Brumado BA","Japeri RJ","São Sebastião do Passé BA"
1505809,1502509,1500701,1503457,1501105,2202729,1301951,"Itamarati AM","Portel PA","Chaves PA","Anajás PA"
3123809,1701101,2502151,3152204,3138658,2410603,1302009,"Itapiranga AM","Engenheiro Navarro MG","Aparecida do Rio Negro TO","Boa Vista PB"
2931806,1505486,1507805,2919959,1503705,2924678,1302108,"Japurá AM","Tremedal BA","Pacajá PA","Senador José Porfírio PA"
2206951,2701100,2608008,2100956,2205201,2702108,1302207,"Juruá AM","Novo Santo Antônio PI","Branquinha AL","Jataúba PE"
2912608,1503077,1507805,1505908,1500206,1502806,1302306,"Jutaí AM","Ibiquera BA","Garrafão do Norte PA","Senador José Porfírio PA"
2902104,1503705,2613305,2508406,2931806,2206209,1302405,"Lábrea AM","Araci BA","Itupiranga PA","São Joaquim do Monte PE"
1301852,2601102,2919504,2910503,2925105,1506187,1302504,"Manacapuru AM","Iranduba AM","Araripina PE","Livramento de Nossa Senhora BA"
2407906,2414902,2911253,2909406,2114007,2509503,1302553,"Manaquiri AM","Monte das Gameleiras RN","Viçosa RN","Gavião BA"
