"n1","n2","n3","n4","n5","n6","origem","origem.nome","n1.nome","n2.nome","n3.nome"
3138658,1714302,1703057,1703008,2504850,2502151,1304005,"Silves AM","Lontra MG","Nazaré TO","Bandeirantes do Tocantins TO"
1507607,2906006,1302702,2921500,2112506,2705002,1304062,"Tabatinga AM","São Miguel do Guamá PA","Campo Formoso BA","Manicoré AM"
2600906,2100956,2608701,2800209,2200251,2929370,1304104,"Tapauá AM","Amaraji PE","Arame MA","Lagoa dos Gatos PE"
1507300,2905206,3101706,1508159,1301704,2802908,1304203,"Tefé AM","São Félix do Xingu PA","Caetité BA","Almenara MG"
2105476,2206696,2112456,2905909,2906402,2110807,1304237,"Tonantins AM","Jenipapo dos Vieiras MA","Murici dos Portelas PI","Turilândia MA"
1506112,2612307,2516003,2205706,2901957,3118106,1304260,"Uarini AM","Quatipuru PA","Saloá PE","Solânea PB"
2301802,2106805,2402105,2313005,2209807,2314003,1304302,"Urucará AM","Baixio CE","Mirinzal MA","Campo Redondo RN"
2922250,2203008,2924108,2802809,2410801,2907707,1304401,"Urucurituba AM","Muquém de São Francisco BA","Cristalândia do Piauí PI","Pedrão BA"
2908309,3156502,3162708,2908101,2928505,3155108,1400027,"Amajari RR","Conceição do Almeida BA","Rubelita MG","São João do Paraíso MG"
2923100,1400282,5006358,3166501,2605400,1200013,1400050,"Alto Alegre RR","Olindina BA","Iracema RR","Paranhos MS"
1505536,2914802,3300407,2408003,3306305,3516200,1400100,"Boa Vista RR","Parauapebas PA","Itabuna BA","Barra Mansa RJ"
2905404,3127057,5200829,5213772,1705102,3162708,1400159,"Bonfim RR","Cairu BA","Fronteira dos Vales MG","Amaralina GO"
3170909,2102804,2909109,3141801,3145372,3130655,1400175,"Cantá RR","Varzelândia MG","Carolina MA","Coribe BA"
2510303,2202802,2104701,2413201,2925931,2926707,1400209,"Caracaraí RR","Nova Palmeira PB","Conceição do Canindé PI","Graça Aranha MA"
3165909,3119500,3139250,3170529,1506351,2209500,1400233,"Caroebe RR","Senador Modestino Gonçalves MG","Coronel Murta MG","Mamonas MG"
5006358,1200013,3166501,2605400,1400050,2923100,1400282,"Iracema RR","Paranhos MS","Acrelândia AC","Serra Azul de Minas MG"
4319158,4126306,3170438,5003108,5205208,5000807,1400308,"Mucajaí RR","São Miguel das Missões RS","Sengés PR","União de Minas MG"
1504109,3130051,3124302,1400472,3108701,3120300,1400407,"Normandia RR","Magalhães Barata PA","Icaraí de Minas MG","Espinosa MG"
2403806,2407609,2923506,3136520,2802502,3137304,1400456,"Pacaraima RR","Florânia RN","Messias Targino RN","Palmeiras BA"
3120300,2706406,3155603,3129608,3138682,1710706,1400472,"Rorainópolis RR","Cristália MG","Pão de Açúcar AL","Rio Pardo de Minas MG"
2312502,2102556,2412104,3505351,2304350,2310605,1400506,"São João da Baliza RR","São João do Jaguaribe CE","Campestre do Maranhão MA","São João do Sabugi RN"
1718006,1703826,2309805,2311108,2204808,2101251,1400605,"São Luiz RR","Porto Alegre do Tocantins TO","Cachoeirinha TO","Pacoti CE"
2924207,2802403,1502004,1508035,2202539,2908705,1400704,"Uiramutã RR","Pedro Alexandre BA","Gararu SE","Cachoeira do Arari PA"
3161106,2301000,2919801,2609402,2311405,2920601,1500107,"Abaetetuba PA","São Francisco MG","Aquiraz CE","Macaúbas BA"
4317004,1710904,3166105,5222302,1200179,4105201,1500131,"Abel Figueiredo PA","Santana da Boa Vista RS","Itapiratins TO","Senhora do Porto MG"
1503457,1506195,1505700,1503077,2909604,1300201,1500206,"Acará PA","Ipixuna do Pará PA","Rurópolis PA","Ponta de Pedras PA"
1506005,1301803,2805802,3162401,1503101,2919603,1500305,"Afuá PA","Prainha PA","Ipixuna AM","Riachão do Dantas SE"
2500304,3127073,3145307,3120151,1505635,2915908,1500347,"Água Azul do Norte PA","Alagoa Grande PB","Fruta de Leite MG","Novo Cruzeiro MG"
2211100,1500909,1503309,1301100,2905909,1506203,1500404,"Alenquer PA","União PI","Augusto Corrêa PA","Igarapé-Miri PA"
4304663,4322533,4119301,4322327,3164803,5107701,1500503,"Almeirim PA","Capão do Leão RS","Vale do Sol RS","Pinhão PR"
5217609,4323002,4300604,5201405,1508100,4304606,1500602,"Altamira PA","Planaltina GO","Viamão RS","Alvorada RS"
2913507,2912905,2801405,1506583,2932309,1504505,1500701,"Anajás PA","Iguaí BA","Ibirataia BA","Carira SE"
2211001,3305109,2111300,2607901,2504009,3118601,1500800,"Ananindeua PA","Teresina PI","São João de Meriti RJ","São Luís MA"
1507458,3156007,2922706,5004809,2913507,1506583,1500859,"Anapu PA","São Geraldo do Araguaia PA","Rio Vermelho MG","Nova Canaã BA"
2112456,2105476,2211100,1500404,2905909,1301100,1500909,"Augusto Corrêa PA","Turilândia MA","Jenipapo dos Vieiras MA","União PI"
1303106,1508035,1502004,2803203,1400704,2504900,1500958,"Aurora do Pará PA","Nova Olinda do Norte AM","Tracuateua PA","Cachoeira do Arari PA"
2110401,2110609,2904753,2111789,1503002,2305209,1501006,"Aveiro PA","São Benedito do Rio Preto MA","São Bernardo MA","Buritirama BA"
2202729,1503101,1200435,3162401,1503044,2705804,1501105,"Bagre PA","Cocal dos Alves PI","Gurupá PA","Santa Rosa do Purus AC"
1504000,2310308,2201200,2600401,1504307,1507706,1501204,"Baião PA","Limoeiro do Ajuru PA","Parambu CE","Barras PI"
1101807,3157906,1101500,3159357,2615003,1507755,1501253,"Bannach PA","Vale do Paraíso RO","Santa Margarida MG","Seringueiras RO"
2304400,3304557,3550308,3300456,2927408,1302603,1501303,"Barcarena PA","Fortaleza CE","Rio de Janeiro RJ","São Paulo SP"
3106200,2611606,5300108,3303500,1302603,3300456,1501402,"Belém PA","Belo Horizonte MG","Recife PE","Brasília DF"
2516151,2602704,2802205,2201770,2208858,2902658,1501451,"Belterra PA","Sossêgo PB","Buenos Aires PE","Feira Nova SE"
2608909,2311801,2908507,2305233,2309706,2307700,1501501,"Benevides PA","Limoeiro PE","Russas CE","Conceição do Jacuípe BA"
1100379,1200807,2919702,1200344,2926657,2513943,1501576,"Bom Jesus do Tocantins PA","Alto Alegre dos Parecis RO","Porto Acre AC","Macarani BA"
1301308,2703106,2202505,2206902,1303205,2910008,1501600,"Bonito PA","Codajás AM","Igaci AL","Caracol PI"
2803500,2930501,2101608,2103307,2402600,2607208,1501709,"Bragança PA","Lagarto SE","Serrinha BA","Barra do Corda MA"
4117305,3143708,4306502,5103254,3112653,3108800,1501725,"Brasil Novo PA","Ortigueira PR","Morro do Pilar MG","Dom Feliciano RS"
2203354,2401859,2510659,2401503,2603504,2707800,1501758,"Brejo Grande do Araguaia PA","Dirceu Arcoverde PI","Caiçara do Norte RN","Parari PB"
